[00:00] 好我们继续讲生成式软件工程
[09:41] 问题到这个形式语言描述的问题之间
[09:45] 还是有gap的
[09:46] 就像啊前段时间有一个很有意思的笑话
[09:49] 有人声称证明了哪一个黎曼猜想
[09:51] 还是P等于NP好像P不等于NP
[09:53] 然后但是后来大家发现
[09:54] 他那个形式化证明里面
[09:56] 等于说它定义那个问题
[09:57] 就是一个nothing不存在的定义
[09:59] 然后他说我证明了一个
[10:00] 就证明了一等于一这样的东西
[10:02] 然后最后他写了大概几千页的证明
[10:04] 然后最后证明一等于一有这个感觉
[10:07] OK
[10:09] 所以对我觉得对我们的启发来说是
[10:12] 比如说OpenAI
[10:13] 他说他有all in on RSI
[10:16] 然后那我们就回头再想
[10:19] 其实the bitter lesson到今天就是the scaling law
[10:23] 到今天可能还没有停止
[10:26] 就比如说我看到GPT-6
[10:28] 它发布以后
[10:30] 我最大的感受就是
[10:32] 可能OpenAI摸到了一个门道
[10:35] 这个门道我不知道这个应该怎么叫
[10:39] 大概就叫我可能叫它数据分布工程
[10:42] 也就是说GPT-6它有我前面说过
[10:47] 它有非常惊人的空间推理能力
[10:49] 它可以理解一个图片里面的空间关系
[10:53] 然后从而他在画图方面
[10:55] 在生成模型方面都做的的都做的非常好
[10:58] 那毫无疑问是因为他
[11:00] 在训练的时候肯定加入了这部分的数据
[11:02] 可能基模训练的时候就加了这些数据
[11:04] 然后同时他在后训练的时候
[11:05] 强化学习的时候
[11:06] 也有更多的数据帮助他去理解这个空间
[11:11] 给他反馈
[11:12] 说这样做是好
[11:13] 这样做是不好
[11:13] 或者对和错
[11:14] 那另外一个维度的scaling law就变成了以前以前
[11:20] 我们说好大模型
[11:21] scaling law 是说
[11:22] 我有更多的训练数据
[11:23] 他就可以基模就可以变得更好
[11:25] 所以Anthropic去买书
[11:26] 然后去烧书
[11:27] 他只要买了书
[11:28] 烧了书
[11:28] 他有了绝版的数据
[11:30] 他就可以比别人别人更强
[11:35] 我觉得他们看到一点
[11:36] 如果我们有一个基模
[11:38] 他已经做的很好了
[11:40] 我们可以再加一个他没有见过的领域
[11:43] 然后强化学习
[11:44] 然后他就会在所有的任务上都做得更好
[11:47] 这是一件非常恐怖的事情
[11:48] 你看到就刚才我们看了那个视频
[11:50] 说模型是一代一代怎么怎么发展过来的
[11:54] 那最早的时候模型就完全就是语料
[11:58] 它是这个语言的token large language model
[12:01] 然后他是先训练了语言
[12:04] 然后再训练了可能视觉的多模态训练了一部分
[12:08] 然后他训练了数学
[12:10] 你看这人工智能就是大语言模型
[12:12] 它发展的脉络是先从语言到数学语言
[12:16] 然后再到多模态
[12:17] 他学会了数学以后
[12:19] 他才再学会空间感知的关系
[12:21] 然后他可能就不需要那么多数据
[12:23] 因为如果你从零开始训练一个
[12:25] 比如说巨型智能的模型
[12:26] 它很容易什么
[12:27] 你会先要有大量的模拟器数据
[12:29] 然后模拟器数据我们的模型是一个reward hacker
[12:32] 它就很容易根据你的模拟器里面的
[12:34] 比如说光照的那种渲染的一点非常细微的
[12:37] 比如说那个角上的光像素点是亮还是不亮
[12:40] 它就能够得到这个reward hack的反馈信号
[12:43] 它不能泛化
[12:44] 但是如果你是一个大模型
[12:46] 一个基座很大的基座模型
[12:47] 它既会语言
[12:48] 又会数学
[12:49] 还会写歌写程序
[12:52] 那如果你在这样的一个好的基础基座模型上面
[12:55] 再给它做空间感知的训练
[12:57] 可能就不需要那么多数据了
[12:59] 所以每加一个就我猜测
[13:01] 你每加一个新的人类的领域
[13:03] 他需要的数据不是更多
[13:05] 反而是更少
[13:05] 它就能达到一个泛化的效果
[13:08] 这是件非常恐怖的事情
[13:09] 然后人跟模型是反过来的
[13:11] 人是先学的世界模型
[13:13] 就我们在刚讲刚婴儿出生的时候
[13:16] 我们就和这个世界交互
[13:17] 先学的是世界模型
[13:19] 然后
[13:20] 你看他要到
[13:21] 训练一年两年3年的世界模型以后
[13:24] 他才能开始说话
[13:25] 你那幼儿园的时候小朋友都还说话都说不利索
[13:28] 他是先有世界模型再训练语言
[13:31] 再训练数学
[13:31] 再比如说变成我这读一个PhD
[13:34] 训练这个research taste
[13:35] 然后大语言模型反过来
[13:37] 但我们看到的是
[13:38] 不管按照什么顺序训练
[13:40] 只要你有足够多的数据
[13:42] 你有scaling law这个模型就能训成
[13:45] 当模型成功了
[13:46] 人也成功了
[13:47] 所以他们可能看到了这个数据分布
[13:49] 工程上的这样的一个飞轮
[13:52] 它只要决定在什么时候给模型
[13:55] 按照什么样的比例注入数据
[13:57] 模型的架构不重要
[13:59] 算法不重要
[14:01] 只要训练不崩掉
[14:02] 只要这个训推能够一致
[14:04] 我不能训练出一个参数推理的时候
[14:06] 他这个参数参数变了
[14:08] 只要这些工程性的问题能解决
[14:11] 它只要有十倍100倍的数据
[14:12] 这个问题就解决了
[14:14] 可能算法就你用一个更好的算法
[14:15] 用更好的模型结构
[14:16] 可能会能够有一定程度的提升
[14:18] 但是对他来说
[14:19] 只要这个飞轮还在
[14:21] 只要他有钱
[14:21] 他就可以无限的scale下去
[14:23] 所以这是一个非常恐怖的事情
[14:24] 基模厂说
[14:26] 一一方面我们看到比如说AI 顶会
[14:28] 今年投稿的数量到达新的巅峰了
[14:31] 就学术界更多的用这个AI slop来充满
[14:35] 这个对
[14:37] 因为同学们都想发论文
[14:38] 你们你们如果还想保研的话
[14:40] 你们都一定会想发一篇论文
[14:41] 然后另外一个方面是
[14:42] 这个基模厂已经不care这些东西
[14:44] 他说你们你们在一个小规模上做任何实验
[14:46] 对他来说都没有意义
[14:47] 因为因为他看到了另外一个维度的scaling law
[14:51] 然后你不在基模厂
[14:52] 你没有没有这个没有任何资源可以做这件事
[14:54] 你对这个分布
[14:55] 比如说在什么时候
[14:56] 加进这个数据一无所知
[14:58] 然后你就算是能做一些实验
[15:00] 在一些小规模上有一些非常酷的想法
[15:03] 可能你也不需要写一篇paper
[15:05] 你只只要写一个blog post
[15:06] 然后你今天只要写个blog post
[15:09] 然后他们的那个AI看到这个blog post就可以
[15:12] 他们到他们的数据上去试一试
[15:14] 他们他们有RSI的loop
[15:16] 就他们先要构成一个人工智能上面
[15:19] RSI（recursive self-improvement）的一个循环
[15:22] 然后他靠这个人工智能循环
[15:24] 那就可以去做任何事
[15:25] 然后飞轮就蹬起来了
[15:27] 有点恐怖
[15:28] 我觉得就这是一个他们要做自动化的能力
[15:33] 能力产生
[15:35] 一旦这个这个闭环被他们探索的
[15:38] 基本上接近收敛
[15:39] 而且在AI的帮助下
[15:40] 这个闭环我觉得肯定会很快的收敛
[15:43] 因为AI比任何一个人类都要强
[15:44] 他就可以去发现找一个新领域
[15:46] 我不知道下一个领域是什么
[15:48] 情感计算还是这种化学
[15:51] 因因为我听说这个看到消息说
[15:54] Anthropic要做一个这个wet lab
[15:59] 去做这个生物工程的实验
[16:01] 那也许生物工程
[16:05] 或者比如说甚至预测这个老鼠的行为
[16:08] 你就成为了一个下一个scale的领域
[16:10] 然后他在这个领域上面可以建立反馈
[16:13] 优化训练分布
[16:14] 就把这个领域以一个插件的形式
[16:17] 插进它的基模训练里
[16:19] 然后这个飞轮转起来
[16:21] 这就非常恐怖了
[16:22] 他每次就是说我要新建一个实验室
[16:24] 投资几10亿美元
[16:25] 新建一个实验室
[16:26] 然后他的模型能力就往上抬一个台阶
[16:28] 这是一个几乎可预见这个能够有收益的
[16:33] 而不是像我们现在学术界
[16:35] 比如说要写个paper
[16:36] 就是我随机的想一个idea
[16:38] 这个有没有用
[16:38] 不知道
[16:39] 然后我要去发一篇paper
[16:41] 然后接受这个peer review
[16:42] 然后这个我觉得这个体系马上就要崩溃了
[16:44] 这个但每个同学都可以想一想
[16:47] 在这个崩溃的体系下
[16:49] 我们还能啊还能剩下什么对
[16:52] 然后我也理了一些
[16:54] 可能我跟AI聊了一会儿
[16:56] 然后比如说啊这些至少这些都是可以
[17:01] 作为一个小的
[17:02] 可能是一个小的领域来做验证的
[17:05] 比如说你可以在系统架构上面
[17:08] 去训练品位
[17:09] 让他做出好的系统设计
[17:11] 然后很快这个
[17:12] 可能到我这个学期结束的时候
[17:16] 他们突然推出了下一版的模型
[17:18] 把系统设计加进去了
[17:20] 然后然后然后你就看到我
[17:22] 我你对我经常在在课上面说
[17:24] 你笑话AI生成的这个slop code
[17:27] 说你看它架构多么多么糟糕
[17:29] 我1+1个需求他就崩溃了
[17:30] 然后但这些事情可能就永远都不会发生了
[17:33] 对
[17:35] 很有意思
[17:36] 但不管怎么样
[17:37] 我们还是需要上课的
[17:38] 需要上课
[17:39] 是因为你还是不能完全的依赖AI
[17:43] 或者说你人类是一个竞争的社会
[17:46] 它和生物生我们就我们所在的环境
[17:50] 生物的进化很像是
[17:51] Survival of the fittest
[17:52] 你是适者生存的
[17:54] 所以这个斩杀线就毫无疑问
[17:55] 这个斩杀线是不断的向向上移动的
[17:58] 然后你每一个人就会就说我
[18:00] 我最终怎么样才能逃离这个斩杀线
[18:02] 然后在最后还没有被斩杀的时候
[18:05] 搭上最后一班车
[18:06] 因为人类就我觉得从人类的角度来讲
[18:09] 人类肯定不希望自己消亡
[18:11] 不管是Anthropic还是OpenAI还是DeepSeek
[18:14] 他们都希望的是靠人工智能
[18:16] 去推动人类的进步
[18:17] 当然这个斩杀一定程度上会使很多人的生活
[18:21] 没有生命
[18:22] 变得没有意义
[18:22] 但是我们成为一个更好的人
[18:25] 我们就可以更好的找到这个意义
[18:27] 那这也这也是没有办法的事
[18:28] 我们每个人都是这样
[18:30] 包括我也是
[18:31] 我也我也是这样
[18:32] OK
[18:33] 所以我们还是回到技术上的内容
[18:35] 我们上一次讲了版本管理
[18:37] 然后我花了好多次课来给大家说
[18:41] 我们的软件软件所面临的问题是我们的intent
[18:45] 就是你想要什么
[18:46] 我们的specification
[18:48] 我们的implementation
[18:50] 它这三个之间是有是有是有gap的
[18:52] 然后就是因为有这个gap
[18:54] 所以构造软件就成为一个世纪性的难题
[18:57] 也有了
[18:58] 软件工程
[18:58] 然后我们起了个头说
[19:00] 如果你现在就要从零开始构造一个系统
[19:02] 那我们就需要管理软件
[19:04] 所以我讲了一些这个版本控制的东西
[19:07] 那接下来就是如果我们真的想要构造软件
[19:12] 而且版本管理也有了
[19:14] 那我们到底应该怎么
[19:16] 怎么构造
[19:17] 当然我也起了一个头
[19:18] 有一个答案
[19:19] 就今天的答案是直接做一个这个
[19:22] Minimum
[19:22] Minimum
[19:23] Viable product
[19:24] 一个MVP
[19:25] 一个最小原型
[19:26] 这件事情对大家来说是非常直观的
[19:28] 我们做的多就错的多
[19:31] 我做的少我就错的少
[19:34] 所以我做一个最少的
[19:35] 但是又和我最终的那个product最接近的
[19:39] 那应该是收益比较大的
[19:41] 因为它可以帮助我去补上这个intent specification
[19:44] implementation的这个gap
[19:46] 因为我做一个MVP
[19:47] 首先是AI生成的slop
[19:49] 所以所以他也不怎么花钱
[19:50] 这个integration我随时可以扔掉
[19:52] 这个不重要
[19:53] 但是它能够帮我知道我的intent哪里没有弄对
[19:57] 然后我的specification
[19:59] 比如说架构还有没有可以改进的空间
[20:01] 然后再做几个版本的迭代
[20:03] 最后再去啊再去出来
[20:04] 比如说比如说我那天晚上
[20:08] 做了这样的一个东西
[20:10] 做这样的一个东西
[20:11] 所有东西都是AI slop
[20:13] 我就是开着豆包输入法
[20:15] 然后开了几个终端
[20:16] 然后来回骂过来骂我一圈一圈骂过来
[20:21] 这是一个和物理世界有交互的这个东西
[20:26] 我有一个标签打印机
[20:27] 它他就把标签就打出来了
[20:31] 就是之前买的各种各样的设备
[20:33] 然后然后每个设备大家都要用
[20:36] 就大家都用那个设备自带的软件啊去使用
[20:40] 然后那个软件用起来就像吃屎一样
[20:43] 所以所以我们干脆这个就不要
[20:47] 就不要这个这个软件了
[20:49] 我就把所有的这些软件都屏蔽掉
[20:51] 当然这也是AI做的
[20:52] 相当于做一个抽象
[20:54] 哎这其实是有哎sorry
[20:56] 这其实是有一些软件工程智慧的
[20:59] 我们有一台计算机
[21:02] 然后这个计算机上总线上连了一些设备好
[21:04] 这就是操作系统课程
[21:06] anyway不重要
[21:06] 扫描仪
[21:07] 打印机
[21:07] 各种各样
[21:08] 你能想象的
[21:09] 想象任何东西
[21:10] 然后这个码是可以扫的
[21:11] 这个这个我会就整个流程它会自动
[21:13] 你们不需要扫码
[21:14] 这个就是这是一个这个白的咳
[21:17] 他会上传到这个
[21:19] 我们ISS自己的那个那个主页上
[21:24] 我们为什么不能对他做一个抽象
[21:29] 他就是一个就我们说
[21:31] 我上操作系统课时候说什么是设备驱动
[21:33] 把一个设备抽象成read write I/O control的一个接口
[21:36] 那我能不能把它抽象成一个更好用的接口
[21:38] 比如说扫描仪
[21:40] 我就是一个scan
[21:43] 我希望的是我是正面向上还是反面向上
[21:46] 然后我要单面还是双面
[21:48] 我dpi是多少
[21:48] 我就给他一个更干净的接口
[21:50] 然后我的这个这个打印机也是的
[21:52] 我的接口就是一个print
[21:54] 一个image
[21:57] 当我有这个接口以后
[22:00] 我的实设计和实现就完全解开了
[22:03] 然后我的软件层就可以工作
[22:05] 在这个这个接口层上
[22:07] 对这是一个非常典型的软件工程里的你的设计
[22:10] 然后这样我就再也不用
[22:11] 不需要去用那些不好用的软件了
[22:14] 然后这就是一个self service
[22:16] 然后你看到的是什么AI出现以后
[22:19] 而且我特意试用的是国产的模型
[22:21] 因为正好那个那个他我额度额度是空的
[22:25] 然后我就正好把五个小时额度
[22:26] 基本上全部登完了
[22:27] 然后就得到看起来是个非常可用的
[22:31] 就跟你在你在食堂或者宿舍楼下
[22:33] 看到那个机器达到了某种这个产品级的
[22:39] 效果的这样的东西
[22:41] 所以所以就是以后
[22:43] 软件公司就是面临一个非常彻底的消亡
[22:48] 你想他
[22:50] 我不知道你们有没有没有装过这种
[22:52] 比如说标签打印机都会给你一个驱动
[22:53] 给你一个软件
[22:54] 它的开发成本是非常高的
[22:56] 然后像我的这个扫描仪是佳能的扫描仪
[22:59] 然后这个扫描仪的成本
[23:02] 软件成本也是非常高的
[23:03] 他要开发
[23:05] 要跨平台的驱动等
[23:08] 但是在今天这些全通通都不需要了
[23:11] 啊这里有代码
[23:20] 我直接让他解释一下打印机和
[23:27] 但我只让AI帮我解释
[23:29] 实际上这个打印机
[23:32] 这个照片打印机是个非标的东西
[23:35] 就没有
[23:37] 就我不知道它是什么
[23:38] 其实我不知道它是什么
[23:40] 也是相当于是一个杂牌的
[23:42] 你看他是一个叫easy scan
[23:45] 不算是一个特别标准的设备
[23:49] 然后我就直接让告诉AI说
[23:53] 我就想要把这个打印机驱动起来
[23:56] 他都不知道
[23:57] 就比如说这个打印机里面有一个有一个选项
[24:00] 它是热转印的
[24:01] 就那种标签
[24:02] 你们看的那种贴固定资产的标签
[24:04] 然后那个标签它是一个碳粉袋
[24:06] 然后那个碳粉袋会加热
[24:08] 就是就相当于是在有像素的位置加热
[24:11] 然后把那个碳粉烫上去
[24:13] 这样热转印的一个打印机
[24:14] 然后那个热转印打印机有一个参数是
[24:17] 大概是加热的程度或者就是深度吧
[24:23] 就是图像的深度
[24:24] 然后我们不知道这个参数是多少意思
[24:26] 应该设什么
[24:27] 然后AI就不停的打标签
[24:30] 他先打一个上面有数字
[24:31] 比如说这是第15次尝试15
[24:34] 然后15
[24:35] 然后问我是淡了还是浓了
[24:36] 他看不到
[24:37] 但这个完全如果接个摄像头
[24:38] 它就可以不用
[24:39] 我把一个摄像头对着那个他就不需要
[24:41] 甚至连我都不需要他自己一张一张一张打它
[24:44] 就可以完全自动的把这个东西给完成
[24:49] 这是一个
[24:50] 他一开始尝试的是试试图用这个 LPD
[24:53] 因为能识别到这个
[24:54] 但是后来他发现
[24:55] 他可以直接用这个PCL的驱动
[24:57] 去一个一个generic的打印
[24:59] 把它当成一个通用的打印机
[25:01] 然后来处理好
[25:04] 就我就完全没有监管
[25:06] 我只是问他要一个结果
[25:08] 是一个可验收的结果
[25:09] agent就可以一轮一轮一轮一轮一轮的去把
[25:11] 去把这个事搞定
[25:12] 然后搞定了以后
[25:14] 就然后在外边一个界前端界面
[25:17] 我就是用嘴输出
[25:19] 就啊就可以
[25:20] 所以你看到这个软件会发生根本性的变化
[25:23] 最近也发布了豆包手机
[25:25] 豆包手机也是一个我觉得非常好的工程产品
[25:28] 因为它也体现了同样的软件工程智慧
[25:31] 他说的是我们这些app
[25:35] 都不重要了
[25:37] 这些app都不重要
[25:38] 如果我们有一个Jev 这样的模型
[25:41] 我觉得Jev和豆包手机真的是非常配
[25:43] 就是一个决策
[25:44] 但是又是接近实时的
[25:46] 所以我觉得他走在前面
[25:48] 他赌这个模型
[25:49] 当然可能我们也都看到这点了
[25:50] 就他赌模型可以在有一个时间点快到
[25:54] 可以和人一样快点手机
[25:55] 虽然当时他做这个豆包手机的时候还不能
[25:58] 但这件这一天很快就会来
[26:00] OK
[26:02] 所以所以他就把app抽象成了各种各样的接口
[26:05] 然后这个接口反正他有computer use去调用
[26:08] 我要点外卖
[26:09] 我要点外卖他就直接好应用
[26:12] 就沦为了一个点外卖的接口
[26:14] 留下了一个查询数据的接口
[26:16] 所以这app是不是有一天全部都要死掉了
[26:18] 因为他只要提供接口就行了
[26:21] 他提供一个API是给
[26:23] 是提供一个app是给人用的
[26:25] 但他如果只要提供一个API就可以给agent内容
[26:28] 所以你看到比如说阿里在疯狂做这件事
[26:31] 阿里在疯狂的把他的所有旗下的服务
[26:34] 都整合整合
[26:35] 像agent整整合
[26:37] 试图用一个千问这样的应用
[26:38] 当然千问我觉得有点生不逢时
[26:40] 他太想把这个产品推出了
[26:43] 然后那个时候他模型它的算力可能也不够
[26:45] 也没有
[26:47] 他们可能自己也没有一个Jev这样的
[26:49] 智力又足够
[26:50] 而且有足够快的模型来帮帮你
[26:52] 完成各种各样的任务
[26:53] 所以所以拿出来像一个未来的半成品
[26:56] 但是这也意味着
[26:57] 未来总有一天肯定肯定会来的
[27:00] 然后软件整个软件公司就彻底消亡
[27:02] 你想这个产业链上养活了多少人
[27:06] 多少外包公司
[27:08] 你在就这个标签打印机
[27:11] 我看
[27:11] 标签打印机对
[27:14] 我找一帧稍微好没有
[27:17] 没事就这样的一个标签打印机
[27:19] 它为了推出
[27:20] 就你想象你是一个
[27:23] 你毕业了要去想要去创业
[27:25] 然后你想要去创业
[27:27] 你说我要卖一个就找到一个细分市场
[27:30] 比如说你发现每一个学校都
[27:32] 每个单位都需要一个这样的标签打印机
[27:34] 那这是一个不错的市场
[27:35] 你可能卖几百块钱一台
[27:37] 还是相当有利润可赚的那硬件上
[27:41] 因为因为中国供应链很好
[27:43] 中国你基本上这种成熟的硬件你肯定能找到
[27:46] 找到供应链
[27:47] 然后你就需要软件
[27:48] 然后软件开发的成本
[27:49] 在pre-AI的时代是非常高的
[27:51] 它需要驱动Windows的驱动
[27:54] 然后Windows驱动完了以后
[27:55] 他还需要这个做Mac的驱动
[27:59] 因为因为你现在越来越多的人用Mac
[28:02] 然后他说Mac没驱动
[28:03] 它就会抱怨
[28:04] 然后你的产品可能就卖不了
[28:06] 卖卖不那么好
[28:07] 但是到今天全部都直接被啊AI啊杀死
