[00:00] 上一节课的时候
[02:38] 所以在那个时候
[02:39] 软件工程里面提出了很多重要的概念
[02:41] 比如说traceability
[02:43] 可追踪性
[02:43] 我们的每一个是最理想情况下
[02:47] 每一个测试用例或者每一个代码的片段
[02:51] 它都能够关联到
[02:54] 可以trace到一个过去发生的事情
[02:58] 做过的设计上
[02:59] 这样整个系统里面到底发生了什么
[03:01] 我改它会影响谁
[03:02] 我改设计会影响哪些测试用例
[03:05] 都能维护起来
[03:06] 然后如果我们有一个语言
[03:07] 一个结构化的
[03:08] 有语义的语言来表示它
[03:10] 那显然是更好的
[03:11] 所以就有了
[03:12] UML
[03:13] 他试图去对齐整个世界上面的软件工程的实践
[03:16] 这当然都是都是有智慧的
[03:19] 然后我们回过头来再想一下这个过程
[03:24] 实际上软件工程它困难的
[03:27] 还有一个本质的原因
[03:28] 其实要软件它不软
[03:30] 就我们觉得什么东西是软的
[03:33] 你们现在坐在教室里面的这个椅背
[03:36] 它就是软的
[03:37] 它是软的
[03:38] 然后你当我们说软的时候
[03:40] 它有一个就是什么东西是软的
[03:42] 它有弹性
[03:43] 它你当你对它施加一个这个
[03:46] 比如说你把它摁摁下去
[03:48] 你一靠
[03:49] 它就瘪下去了
[03:51] 但是呢你做起来以后
[03:53] 他又诶弹回来了
[03:55] 你下次做的时候它还是好的
[03:56] 但软件和这样的就是物理世界里面的这些
[03:59] 比如说你的椅背很不一样
[04:01] 它是一个纯粹的逻辑制品
[04:03] 这个逻辑制品是容不下任何细微的差错的
[04:07] 作为一个程序
[04:08] 它有形式语义
[04:09] 你可以想象你们在写代码的时候
[04:11] 从来没有考虑过
[04:12] 如果你的程序里面的内存
[04:15] 可能会发生一个bit的翻转
[04:17] 你的程序还对吗
[04:19] 肯定不对了
[04:20] 你想呢你的你有一写了一个什么程序
[04:24] 从stdin输入一个N
[04:27] 然后现在哦是很好
[04:28] 输入N等于一
[04:29] 然后N等于一
[04:30] 我就接下来循环就会从额数数字数组里面
[04:34] 读一个元素到 buffer 里，好
[04:35] 这个时候
[04:37] 如果你的软件是运行在卫星上的
[04:39] 然后有一个宇宙射线击中你的内存
[04:41] 然后那个一
[04:42] 他的unsigned integer的最高位变成了一好
[04:46] 他突然就变成了一个巨大无比的书
[04:48] 然后你整个程序就彻底的collapse了
[04:50] 它会无限制的去从输入里面读数
[04:54] 然后如果没有的话
[04:54] 那可能会等
[04:55] 然后你的程序表现出来
[04:56] 就是他喊了也可能在读了
[04:58] 比如说一百一千个数字以后产生一个
[05:01] 这个memory error
[05:03] 所以软件其实一点都不软
[05:04] 刚才我说的是一个比较极端的例子
[05:06] 就是它运行的环境可能是你不可预见
[05:10] 但其实大家是在data center里面会观察到
[05:13] 比如说你的处理器随着制程越来越先进
[05:16] 它在这个热噪声下
[05:17] 有些指令就他那个密度特别大的那个指令
[05:20] 它可能会产生这种silent error
[05:23] 就这条指令
[05:24] 你在这台机器上执行和在那台机器上执行
[05:27] 它结果就不一样
[05:28] 而且甚至是可能要这个服务器运行一段时间以
[05:31] 后才会出现这样的缺陷
[05:33] 就是制造时候的缺陷
[05:35] 所以软件本身就是一个
[05:38] 大家认为是集成了人类智慧的啊一个东西
[05:43] 然后同时它又要承载
[05:45] 对吧错客户来的这些这些需求
[05:48] 就比如说啊教务系统
[05:50] 我今天会花时间来讲教务系统哼
[05:53] 应该怎么样设计
[05:54] 应该怎么样
[05:56] 防止它堆积成屎山好
[05:59] 那就是软件工程
[06:02] 然后在这个背景下
[06:04] 这个我发现
[06:07] 就是也许你们学习
[06:09] 比如说可能有听课的是软件工程的同学
[06:12] 然后学计算机专业的同学肯定要上软件工程
[06:15] 工程的课程
[06:17] 软件工程是一个关乎整个软件生命周期的学科
[06:21] 但是呢你们被迫只能从底下这个地方开始学
[06:26] 因为如果你不理解代码是什么
[06:29] 如果你写不出代码
[06:30] 没有体会过码农开发软件的痛苦
[06:33] 那你是不可能做好一个产品经理的
[06:36] 你设想的
[06:37] 这个事情应该可以办到
[06:39] 这个事情花多少成本可能可以办到
[06:41] 那如果你没有一手的经验
[06:43] 你确实是做不到
[06:44] 所以你们上来以后就先学C语言
[06:46] 先学一个最基础的
[06:47] 老的已经过时了
[06:48] 没有人用的
[06:49] 也还算有一些人用的编程语言
[06:51] 然后在这个基础上你不断的产生新的知识
[06:54] 知道世界是怎么失败的
[06:55] 然后新的语言是怎么创造出来的
[06:57] 为什么要有它
[06:58] 然后一点一点去往上往上走
[07:01] 1.1点去往上走
[07:03] 然后然后你今天看到的是像需求
[07:07] 产品架构
[07:09] 这是我今天要讲的主题
[07:11] 在在这个软件的设计的阶段
[07:13] 到spec
[07:14] 从intent到spec的阶段
[07:16] 然后这其实是软件
[07:18] 决定了一个软件系统从零开始走向的
[07:22] 最关键的部分
[07:23] 我们前面上课的时候先讲了版本管理
[07:26] 为什么先讲版本管理
[07:27] 因为你总是要从一个空的软件项目出发
[07:30] 你说大B1的时候总是从一个空的出发
[07:33] 那我们先讲一下如何从空的出发
[07:35] 这个软件怎么样往后走
[07:36] 然后接下来下一步
[07:37] 我们就要把控软件执行的方向
[07:40] 软件的走向
[07:41] 你的船到底是往东南西北哪个方向开
[07:46] 那你一开始的方向选了以后
[07:49] 对后面的影响是非常大的
[07:51] 但是呢像现建的需求
[07:53] 产品架构都很难做出量化的研究
[07:55] 他只能要么就是安利说今年没办法
[07:57] 我只能这样安利
[07:58] 要么就是这个你就当澳门科学基概念
[08:03] 他会给他刷一个
[08:04] 需求要做 ABC，架构要（满足什么）
[08:07] 要做ABBC产品要满足什么什么什么好
[08:10] 然后当最让你看到的是
[08:11] 我们的学校里面有很多做软件工程的人
[08:15] 还我们号称南京大学软件工程世界第一
[08:18] 在CSRankings里面
[08:19] 如果你属那个ICSE的那个文文文章的话
[08:23] 然后
[08:23] 其实他们大部分都集中在这个和编码相关
[08:26] implementation相关的啊东西
[08:29] 可能有些比如说做这种NLP的
[08:33] 他说他会说好
[08:35] traceability在软件世界里面是非常重要的
[08:38] 这个correct好
[08:39] 那我们能不能训练一个神经网络模型来
[08:42] 这个直接从数据当中推导出这个
[08:45] 但它就变成
[08:47] OK那可能也许用GPT-6就可以做到
[08:50] 做到对
[08:52] 但我今天还是要讲一讲
[08:54] 所以我今天就要讲一讲这个里面最重要
[08:57] 或者说我觉得对于尤其在AI时代
[08:59] AI时代
[09:00] 你生产一个目标明确的代码
[09:03] 已经变得非常便宜了
[09:04] 而且现在比如说对我来说
[09:06] 我现在让AIAI生成生成代码
[09:09] 我只要把它的边界划定清楚
[09:11] 我其实真的已经不看他的视线了
[09:14] 一会我会给大家看到那个GPT-6
[09:16] 昨天写的那个那个代码
[09:17] 那个那个时间已经超越人类能够理解的范畴了
[09:20] 但是它是对的
[09:21] 我还能我还能比较好的信任他
[09:24] 如果我把它边界划定的清楚
[09:25] 然后并且我能够知道他怎么样做一个好的
[09:28] validation的话
[09:29] 那么我可以把agent的slop 铺开去
[09:32] 帮我实现这个
[09:34] 还是有一定质量保证的
[09:37] 软件的
[09:38] 那剩下的其实我觉得我们做软件系统的压力
[09:42] 或者说能够决定这个软件系统最后能走多远
[09:47] 比如说我们说一总是做一个minimum viable product
[09:51] 这个这个没有问题
[09:53] 因为做minimum viable product可以让你快速的
[09:58] 找到一个从intent到specification
[10:01] 到implementation的一个切片
[10:03] 然后在这个切片上
[10:04] 你可以走完整个软件完整的流程
[10:06] 但它不完备
[10:07] 那你在做这个MVP的时候
[10:09] 你一定想的是先做最重要的功能
[10:13] 你并不会想着你在做MVP的时候
[10:15] 就去想那个按钮那个样式应该长什么样
[10:18] 因为这也是depend的
[10:21] 你的按钮是你的按钮的样式
[10:23] 你判的你整个界面的设计
[10:25] 然后整个界面的设计
[10:26] 就是depend到整个你的所有功能的实现
[10:30] 那如果他不确定的话
[10:31] 那你叫我炸
[10:34] 如果你现在就去调那个按钮的样式
[10:36] 当上面的设计发生改变以后
[10:38] 你觉得这个按钮的样式很有可能就不可视了
[10:40] 所以所以你会你会做一个
[10:42] 你会有一个倾向
[10:43] 你不要做无用功
[10:44] 不要去研究一个你即将会扔掉的东西
[10:48] 每每个人都有这个本能
[10:49] 那如果你确实有这个本能
[10:51] 那么你就应该知道在做MVP的时候
[10:54] 选哪些最重要的功能
[10:56] 你会得到一个可以运行的版本
[10:58] 好没问题
[11:00] AI会给你一个
[11:02] 但是AI就在今天
[11:04] 至少今天的AI
[11:06] 他没有去从需求产品设计架构的角度
[11:10] 除非你去显示的用prompt去告诉它
[11:13] 甚至哪怕可能是几个字告诉它
[11:15] 你都会能够
[11:17] 在你从一个零开始项目的零开始
[11:21] 然后如果你要让他用
[11:24] 比如说这个client server的架构
[11:27] 或者你就是一个你让他做一个client-server 的架构
[11:30] 你同样的这个一个MVP的需求
[11:34] 需求定下来
[11:35] 它加上几个字的prompt
[11:37] 你都会得到完全不同的MVP
[11:41] 他们可能功能上都差不多
[11:42] 看起来就都是实现了你的一个好
[11:45] 比如说我要做一个coding agent
[11:46] 或者做一个你的Lab 1的那个学生的agent
[11:49] 但是你的
[11:50] 这几个字的prompter都会都会形成一个带有
[11:55] 这个都会膨胀就
[11:57] 比如说如果你有client-server
[11:58] 那你这里面可能就有个cli.py
[12:01] 或者是depend一个这个JavaScript里面的这种
[12:05] 像Claude Code用的这种命令行的库
[12:08] 那如果你先要求这个client-server
[12:11] 那他可能就会先设计这个数据的存储
[12:13] 然后他会给你选一个数据库好
[12:15] 它就它只要你一旦这个东西
[12:17] 比如说db.ts s
[12:20] 你他一旦这个文件写了
[12:22] 它就会进入agent的上下文
[12:24] 然后每当你继续想要做
[12:26] 继续向后做这个需求
[12:28] 下一个需求的时候
[12:30] 都会带上之前的所有的历史
[12:33] 而这在软件工程里面也有一个名术语
[12:37] 叫做技术债
[12:38] technical debt
[12:39] 他是债务
[12:40] 就说你在你在做任何决定的时候
[12:43] 你就背上了这个债务
[12:45] 因为这个决定你在做MVP的时候
[12:47] 你不知道这个
[12:50] 那你的决定性来自于需求
[12:53] 比如说这个我对我来说
[12:54] 我到底要一个什么功能代理
[12:57] 我显然是写了需求的
[12:59] 但这个需你要有一个自己的自己版本的需求
[13:04] 你会你会
[13:06] 就比如说你就想做一个这不帮助你学习的
[13:09] 或者说你已经进入了课题组
[13:11] 你对读研究论文这件事情
[13:14] 就有很强的需求
[13:15] 那你看到在不同的这个需求下
[13:18] 你的软件的走向肯定是不同的
[13:20] 然后再加上你的产品的设计
[13:22] 那我直面一下你最终的产品
[13:24] 这家比你想象的这个产品是只有你自己用的
[13:27] 比如我自己有很多自己用的用的非常顺手
[13:30] 但是我想给另外一个人用
[13:31] 他就用不那么舒服了
[13:33] 因为我有些我自己的知识
[13:36] 还有自己的偏好
[13:37] 对票对别人来说可能是受不了不习惯
[13:39] 比如说喜欢的命令
[13:40] 内行的工作的普通人肯定不要
[13:43] 除此之外还有个隐藏的东西，是架构
[13:46] 就是这个软件会变成什么样
[13:48] 而这三段会成为撬动软件生产力真正的杠杆
[13:52] 也就是说你可能是极端的档次
[13:54] 但是会对你的AI生成的stop的走向
[13:58] 技术带的累积带来一个非常大的影响
[14:02] 所以我会花两节课的时间来讲这个需求和
[14:06] 需求和架构，对
[14:13] 那我可以让他诊诊断一下
[14:16] 曾经对
[14:17] 曾经这个是
[14:19] 我刚才翻车了
[14:20] 我的系统UI还在正常工作
[14:24] 然后我的OBS还在正常的推流
[14:26] 但是我不知道不知道发生什么
[14:28] 因为我的所有的设备都不能用了
[14:30] 我鼠标键盘都没用了
[14:31] 我插上一个新的鼠标也没有
[14:33] 也没有用
[14:34] 所以以前啊当然这也是一个软件工程实践
[14:38] 出了问题你要去看日志
[14:40] 这imply你在写软件的时候
[14:42] 需要输出足够多的日志
[14:44] 这个好像AI就如果你不告诉AI的话
[14:46] AI也不会主动做
[14:48] 它会生成一个没有任何日志的软件系统
[14:51] 它都会留下这样的这个技术债
[14:54] 然后我不确定
[14:56] 我不确定能不能找到这个问题
[14:57] 但是啊我们回到今天
[15:01] 我们要讲的内容是需求工程
[15:04] 我们说曾经需求工程很难讲
[15:06] 因为学生不会去见这个真正的客户
[15:09] 也这个做不了
[15:11] 需求级的软件系统
[15:13] 你们从刚才说从最刚开始的时候学编程语言
[15:17] 到你毕业的时候
[15:18] 你的能力的增长
[15:20] 不足以让你去面对一个真正的软件
[15:23] 软件的客户
[15:25] 当然现在这个事情有点变了
[15:27] 你看在AI之前
[15:29] 我们有很少量的精英独立开发者
[15:32] 你们经历了几年的开源社区的洗礼以后
[15:34] 终于觉得自己可以独立了
[15:35] 做开发者的
[15:37] 然后会有一些付费用户
[15:38] 然后现在变了
[15:39] 现在这个独立开发者就爆炸了
[15:41] 然后付费用户瑟瑟啊瑟瑟发抖
[15:44] 然后我们今天要讲的软件系统的例子
[15:48] 是我比较喜欢的这个教务系统
[15:50] 教务系统
[15:51] 我可以称它是史诗级的需求爆炸
[15:55] 我昨天就趁趁机看了一下
[15:58] 然后我发现
[16:02] 我登录还在吗
[16:03] 好我的登录不在了
[16:05] 让我扫码登录一下
[16:10] 我需要扫码登录
[16:14] 扫码登录
[16:16] 好的
[16:19] 好我发现教务系统这几年一直都在啊进步
[16:25] 虽然这是这是我的界面
[16:26] 我稍微放大一点点
[16:28] 好好
[16:31] 我最近发现史诗级的更新
[16:34] 我可以问
[16:35] 仙林教学楼的灯一直没有解决
[16:43] 我应该打电话给谁
[16:48] 谁
[16:51] 我可以直接搜索
[16:55] 我正在理解您的问题
[16:57] 我不知道诶
[16:59] 他这个
[17:02] 就基建处
[17:03] 基基建基建处
[17:05] 但是我在那个系统上面
[17:06] 平台上面提了
[17:07] 然后基建处就把我打回来了
[17:09] 说这个事情不归不归我们管这个回
[17:13] 回头再给他打电话好
[17:15] 那我现在在上什么课
[17:18] 我不知道这个行不行
[17:23] 我现在在上什么课
[17:26] 我不确定他有没有载入我的我的上下文
[17:29] 我猜是可以的
[17:29] 因为我登录了
[17:34] 诶他还是教师课表本科诶
[17:43] 这是我的我的课稿
[17:45] 还是
[17:46] 这是一个史诗级的更新
[17:48] 你们竟然
[17:50] 不知道
[17:53] 但我相信大家应该不知道
[17:54] 突然有这个功能了
[17:56] 我不知道什么时候加上的
[17:57] 曾经肯定是肯定是没有的
[18:00] 因为因为好像我不会去搜索
[18:02] 我
[18:02] 因为我总是在那个快捷搜索栏里
[18:04] 直接等到它下一个界面弹出的时候
[18:07] 我就我就点它
[18:08] 所以这是一个非常典型的需求爆炸的系统
[18:12] 这个这个系统肯定是花了很多钱的
[18:15] 然后这个钱我觉得某种程度上
[18:17] 还不如变成token的补贴给大家
[18:20] 因为他要购买算力
[18:21] 他要购买开发
[18:22] 然后他
[18:23] 不如我
[18:24] 我刚才如果我用PyAgent去找一下的话
[18:27] 可能就一毛钱两毛钱
[18:29] 所以把token然后送给大家
[18:31] 然后不要实现任何的功能
[18:32] 可能是可能是更便宜的好
[18:37] 需求我是讲需求
[18:39] 那这样的一个系统
[18:41] 就是一个非常典型的这个业业务系统
[18:46] 比如说比如说我除了找到我的课表以外
[18:49] 我应该还可以找
[18:52] 对我收藏了
[18:54] Sorry
[18:55] 比如说我的教学任务
[18:57] 对我的教学任务
[19:00] 你在这里可以看到大家的信息
[19:02] 我就不点了
[19:02] 因为点开以后好像会显示
[19:04] 电话号码还是什么的
[19:06] 这显然是一个比较糟糕的糟糕的feature
[19:09] 那在学生名单里面可以看到看到电话号码
[19:12] 然后在这里上一次给大家演示过
[19:14] 直接用AI来用slop来填满教学周底
[19:17] 你看没有人管我
[19:19] 我没有任何人来审计
[19:21] 我填的任任何的任何的内容
[19:24] 至少至至少还没有
[19:25] 我觉得他们更更应该
[19:26] 把这个教室的灯给灯给修好好
[19:29] 然后你就看到在这个界面里面有无穷多的功能
[19:35] 你看比如说有编辑联系方式
[19:37] 然后我在这里有当前教学期
[19:39] 最新排课学期历史授课信息
[19:42] 然后在这个历史授课信息里面
[19:44] 我要选择学年学期诶
[19:48] 选择学年学期不太好用
[19:52] 你的感觉是不太好用又还蛮好用的
[19:55] 他还是做了需求
[19:58] 需求分析的
[19:59] 比如说期末考试签到表哎
[20:03] 这也是一个需求功能点
[20:05] 它在期末考试期间允许你点击这个按钮
[20:09] 在没有到期末考试发布的时候
[20:11] 你要弹出一个窗口
[20:13] 告诉你无法打印
[20:14] 然后再比如说编辑教材诶
[20:16] 编教材进入了另外一个页面
[20:18] 有一个弹出窗口哎
[20:23] 再试一次
[20:24] 编辑教材
[20:27] 嘶曾经好像是可以的
[20:30] 好我们已经成功发现了一个bug
[20:33] 查看大纲
[20:35] 大纲是大纲说的教学安排
[20:38] 仅展示最新一个教学班
[20:42] 哦他等了很久才把这个页面刷新出来
[20:45] 这个可能不满足它的功能性需求的
[20:48] 要求状态正常
[20:50] 看有没有还有没有别的可以点的
[20:51] 我就不用A键的点
[20:52] 我还是用古法方式啊来点好
[21:00] 没问题
[21:00] 这是我的教学任务
[21:02] 然后和本科生相关的
[21:05] 还有很多功能助教
[21:09] 比如说我的助教
[21:10] 我这门课好像啊对我这门课没有助教
[21:14] 我能搜我的名字吗
[21:16] 不对这是学号
[21:18] 这个是学
[21:19] 这是我班上的助教
[21:22] 找不到课表内教学班没有助教诶
[21:25] 这是一这是什么
[21:28] 我这是这是什么
[21:33] 这是什么
[21:34] 让我瞧一瞧
[21:36] 咳咳诶
[21:37] 在这里我看到了一些JX
[21:44] 太厉害了
[21:45] 教学班名称堪比堪比agent
[21:49] 搜索哎就看到这个需求是不断叠加的
[21:53] 因为曾经是没有慕课这样的功能的
[21:57] 毫无疑问
[21:58] 在比如说在疫情之前是没有慕课功能的
[22:00] 然后在疫情的时候
[22:01] 领导说我们要我们需要为老师添加慕课
[22:05] 然后添加完慕课以后需要慕课的助教
[22:08] 然后在慕课的助教
[22:09] 不要把它当成普通教学班的助教
[22:11] 要把它当成慕课的助教
[22:12] 然后就有了这个哎这个是啧史诗级的bug
[22:16] 我不知道我不知道为什么
[22:19] 但是这是一个史诗级的好吧
[22:21] 然后我点删除可以吗
[22:23] 好点新增可以吗
[22:25] 请在可维护时段内操作课内教学班可以吗
[22:28] 新增请在可维护
[22:31] 现在不能已经不能不能申请助教了
[22:33] anyway
[22:34] 这就是你看到的教务系统
[22:38] 所以所以你就理解上上一页
[22:40] 我说我说曾经很难讲
[22:42] 你们不会去见真正的客户的
[22:43] 你们可能也不敢拍拍胸脯说
[22:47] 这个给我20万
[22:49] 这个我找几个同学
[22:51] 我们把这个南大的教务系统给包了
[22:53] 你承担不了这个责任
[22:55] 他到到时候跟你签一个合同
[22:57] 然后你说你如果逾期交付的时候
[23:00] 达不到功能要求
[23:01] 达不到非功能要求的时候
[23:02] 怎么办的时候
[23:03] 你就你就傻眼了
[23:05] 你当然你们作为一个成年人
[23:07] 你们是可以去成立自己公司
[23:09] 然后去和学校签订这样的协议
[23:11] 但是你们啊你们也不敢
[23:14] 我你们不敢不要紧
[23:16] agent他敢就行
[23:17] 所以我干了这样的一件事
[23:19] 我
[23:22] 我让GPT帮我就跟跟我在在这儿
[23:27] 用 PyAgent 说
[23:28] 我去爬一下
[23:29] 去帮我去生成一个
[23:32] 什么校服信箱的投稿一样
[23:34] 我让 GPT 去探索一下这个教务系统里面
[23:38] 和教师相关
[23:39] 注意只是教师相关的功能
[23:40] 然后得到一个需求说明书
[23:45] 好我们来看一看这个需求说明书还是很不错的
[23:48] 南京大学本科教学服务平台需求说明书
[23:52] 这就是一个真实的需求报告的案例
[23:56] 你们可以在软件工程的课上看到这样的案例
[23:59] 然后软件工程课上也可能会给你们看一些来自
[24:02] 比如说真实企业的
[24:03] 需求说明书的一部分
[24:05] 但这个就是真的
[24:06] 所以AI真的是很好用
[24:07] 你要学东西的时候
[24:09] 我就想如果要教需求工程的时候
[24:12] 我可以当然可以找一个经典的案例
[24:14] 那我也可以把身边的案例直接变成需
[24:17] 需求说明书
[24:18] 好
[24:19] 你马上就发现这个目录里面有这么多项
[24:24] 从调研方法
[24:26] 证据边界到业务目标
[24:28] 成功标准到各种各样的
[24:31] 详细用例规约功能需求目录
[24:33] 最后还有术语文档以与配套文件
[24:37] 所以你看 GPT 是懂软件工程的
[24:39] 他为什么要写这么多
[24:40] 这在我们看来
[24:42] 这已经是一个做好的系统
[24:43] 这就完全的slop
[24:45] 就突然间写了好多好多的东西
[24:47] 但他懂得
[24:47] 如果你要做一个真正的工程
[24:49] 当你面对的是客户的时候
[24:51] 一个术语就很重要
[24:53] 在他看不懂的时候
[24:54] 他可以去查一下术语
[24:56] 他就对齐了
[24:57] 虽然你不是UML
[24:58] 不是一个还在早期的意图沟通的阶段
[25:02] 但是这些东西显然是有一定用处的
[25:06] 好啊我就随便看一看
[25:09] 需求功能的目录你看他是有traceability的
[25:15] 每一个它遵循了一个比较好的软件工程的规范
[25:18] 里面的每一个需求
[25:20] 比如说需求点和
[25:21] 比如说前面是不是有叫角色
[25:24] 角色
[25:28] 参与者或者业务目标
[25:31] 他都有一个语义上的
[25:33] 有一个形式语义
[25:34] 然后这个形式语义可以帮你建立traceability
[25:38] 而不是说我这个
[25:41] 教学班是和学生管理是有关的
[25:44] 你自然语言肯定是说了这样的一句话的
[25:46] 但是他用有编号一个ID有形式意义的ID
[25:51] 它就A1定程度上的帮助你
[25:54] 做了traceability
[25:56] 我们来看一看
[25:58] 看一看功能需求
[26:01] 门户与身份提供分类服务
[26:04] 检索和应用入口
[26:05] 当一个服务支支持多种已分配身份时
[26:09] 提供身份选择
[26:10] 并显示当前身份
[26:11] 你看当你真正做软件的时候
[26:13] 这复杂的就来了
[26:14] 你可以不说这些
[26:16] 这些你都不说
[26:17] 但是有和到底有还是没有
[26:21] 我们看一下
[26:23] 他应该是观察到了
[26:27] 身份选选择诶啊我就不登录了
[26:31] 刚才刚才在那个本科生
[26:35] 在我选选择教师课表还是哪一个界面的时候
[26:39] 确实看到了
[26:40] 他让我选
[26:40] 是反正我选了底下那个本科生教师
[26:43] 但在多种身份的时候
[26:47] 服务页面明确确当年学期
[26:50] 学年介词或业务批次允许在授权范围内切换
[26:53] 这也是一个
[26:54] 一个设计就在在意图阶段
[26:57] 你的领导想要
[26:59] 领导说这个或者说不光是领导的
[27:01] 还是一线的教师
[27:03] 说我打开这个页面以后
[27:04] 什么样的界面对我来说是比较舒适的
[27:07] 所以所以刚才你看到
[27:09] 教务系统还是有一定的设计的
[27:11] 设计感的
[27:12] 他认为你在做
[27:14] 他会想你做这件事情的时候会想要做什么
[27:17] 然后他会留一个combobox在那边
[27:19] 你可以选那个combobox
[27:20] 然后选一个学期或者选一个
[27:22] 选一个什么东西好
[27:25] 教学周易课程与大纲教材选用对吧好
[27:29] 这你就知道了
[27:30] 这就是一个非常tedious的事情
[27:34] 然后这个事情tedious到你根本就不想干
[27:37] 因为你做这些事情对你获得学分
[27:42] 获得学分绩
[27:43] 获得长进
[27:44] 看起来没有什么这个本质的好处
[27:48] 你还不如去做一个
[27:49] 你没有之前没有想过的算法题
[27:52] 这样可以使你解决算法问题的能力高一点
[27:54] 使得你在最后保研机试的时候可以
[27:57] 比别人多拿一点分数
[27:59] 而你在这里面一个一个条目往后写
[28:02] 是非常就无以nonsense
[28:04] 你自己不会想去写想写
[28:06] 但是就是量变引起质变
[28:08] 如果你这个需求文档
[28:10] 比如说你的课程的作业
[28:13] 也给你一个需求文档
[28:15] 你的数字逻辑电路课的作业
[28:16] 计算机系统基础课的作业
[28:18] 计算机系统基础课
[28:19] 你们写那个for system emulator的时候
[28:22] 挺好玩的
[28:23] 这是一个你们见到的第一个比较长的需求文档
[28:27] 我们在设计这门课的时候
[28:29] 在那之前OJ都是一个非常短的需求文档
[28:32] 明确给你输入接口是什么
[28:34] 输出接口是什么
[28:35] 而且那个输入输出的接口都很简单
[28:37] 一般都少输入一个整数
[28:38] 还是空格分隔的整数
[28:40] 你只要用c in就可以输入了
[28:43] 而你们在计算机系统基础课上
[28:45] 第一次见到一个比较长的specification的guide
[28:49] 它的你我们首先需求的要求是
[28:51] 你要实现一个NEMU
[28:53] 这个NMMU
[28:54] 你的第一个live可能是实现一个调试器
[28:56] 这个调试器你不需要事先解释指令
[28:58] 第二个实验你需要实现指令的解释，好
[29:01] 这也是一句话
[29:02] 但是到底什么是指令
[29:04] 指令的行为写在文档里
[29:06] 你就得到了另外的一个更大的需求文档
[29:08] 所以其实当系统走到大到一定程度的时候
[29:14] 你们做的训练都是相通的
[29:16] 你在学这个计算机系统基础这门课的时候
[29:19] 其实一定程度上学了软件工程好
[29:24] 然后就是AI的魅力时刻了
[29:27] 我就我就不展开了
[29:28] 就是这是需求工程里面
[29:31] 你为了挣钱
[29:32] 你看这是验收场景
[29:34] 还有验收的场景
[29:35] 然后还有需求清单
[29:39] 一个非常好的一个结构化的一个需求清单
[29:42] 这个checklist最终你就可以把它分成
[29:45] 前20个需求分给这个这个团队
[29:47] 后
[29:48] 二手需求分给这个团队
[29:49] 然后就可以track每一个人的进度
[29:52] 你就知道哪一个团队落后于实现需求
[29:55] 落后于进度了
[29:56] 这个traceability有了以后
[29:58] 你作为一个管理者
