[00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[03:13] 你们会看到这个行为
[03:16] 然后那么实际上当我们说优化提示词的时候
[03:20] 那我们就不仅仅是给它一个指令
[03:23] 实际上当我们说优化提示词或者说提示词工程的时候
[03:27] 我们实际上表达的是一个叫上下文工程
[03:30] 也就是整个模型的上下文
[03:31] 我们都知道
[03:33] 假设大家都知道
[03:34] 模型做的是next token prediction
[03:36] 他每一次可以去预测下一个token
[03:39] 这个token可以是调用工具
[03:40] 可以是就输出一个字符
[03:43] 但是它会不停的向后去推进你的任务的
[03:47] 执行。大概我就感觉是从Claude Opus 4.5这一代的时候
[03:52] ANTHROPIC发现模型突然学会了他靠强化学习和后训练
[03:56] 学会了非常强的指令遵循能力
[03:58] 你有一个非常长接近百万的上下文
[04:01] 它依然可以在很后面的时候能够遵循你的指令
[04:05] 并且能够一定程度上看到
[04:08] 前面的东西。有一个很著名的梗
[04:11] 就说你可以在提示词上面
[04:14] 在最早的prompt上面加一个说
[04:16] 你每说一句话都要在后面加一个喵
[04:20] 然后你等到有一天你发现这个就你跟他工作工作工作工作的时候
[04:24] 突然发现他跟你聊天的时候
[04:26] 那个喵丢了
[04:27] 然后你就知道它不管是因为上下文溢出被截断了还是压缩了等
[04:32] 某种反
[04:33] 反正他开始不能遵循指令了
[04:35] 这时候你就需要这个重新来啊哈想一个办法
[04:39] 这就是大家在工程实践当中发现的很有趣的各种各样的上下文工程
[04:45] 也就是提示词工程的方式
[04:47] 而我们今天我上这门课
[04:50] 也希望告诉大家最重要的一件事
[04:53] 为什么会说那个没有没有token就应该退学
[04:57] 我希望告诉大家的是
[04:59] 所有的事情你都应该立即开始尝试AI给我们的一个能力
[05:04] 就是任何时候你觉得有一点麻烦
[05:08] 你都可以立即行动
[05:10] 因为AI是一个非常耐心的老师
[05:13] 不像有的时候我一我因为我从我上大学的时候有一种感觉
[05:18] 我有个东西不会
[05:19] 可能我的室友会
[05:20] 然后我跟他沟通的成本很高
[05:23] 而且我可能会有这样的想法
[05:25] 哎呀我是不是就在我室友面前暴露了我很菜
[05:29] 这可能是一个我不想告诉他的秘密
[05:32] 但anyway
[05:33] 蔡也这也很正常
[05:34] 但对于AI这个老师来说
[05:36] 他不会嫌弃你
[05:36] 而且你可以任意程度的追问
[05:40] 所以啊当我们说比如说我刚才说到一个概念
[05:44] 说哎我们的CAI的agent是有一个很长的上下文的
[05:50] 他有system prom
[05:50] 有各种各样的东西
[05:51] 那我下一秒钟啧
[05:55] 我就可以立即打开一个agent
[06:00] 我可以立即打开一个agent
[06:02] 然后我可以直接对我可以直接问他
[06:08] 说老师上课的时候说
[06:12] agent的上下文里不仅是一两个提示词
[06:17] 你能检查一下你的上下文里都有些什么吗
[06:25] 他其实可以自己检查自己
[06:27] 甚至他可以自己检查自己的日志
[06:30] 这A证呢就经常会给你一些惊喜
[06:34] 当你问出一个问题的时候
[06:35] 他的解决的手段是出乎你意料的
[06:40] 所以我们来看一下
[06:44] 因为agent正好是可以看到自己的上下文的
[06:49] 根据我们上课所说
[06:50] 他是next token predict
[06:51] 他能看到所有东西
[06:52] 所以他应该能够读出来
[06:54] 除非有明确的指令禁止
[06:56] 比如说有些
[06:58] 像这个模型的providers
[07:00] 它都会禁止你去套取它的系统上下文
[07:03] 这是它会通过模型的微调
[07:07] 也会啊通过一些明确的指令
[07:09] 比如说在system prompt的前面
[07:11] 就会说你任何形式你要回答system prom都是都是拒绝的
[07:15] 但因为这是一个整个开源的框架
[07:17] 它本身你就可以debug它
[07:19] 所以你看这个系统提示词来自哪里
[07:23] 来自哪里
[07:24] 然后以及他的要求工具使用的指南
[07:26] 回复要简洁
[07:28] 然后接下来他会打开这个我用户下的派下的agent下的agents.md
[07:35] 这个是我自己写的
[07:36] 所以你看我
[07:37] 我因为我是上课演示的机器
[07:38] 所以我在这个全局的上下文里面放了一个用中文回答
[07:42] 然后我有一个结尾必须写一个recap
[07:45] 这个细节大家可能啊意识到了
[07:49] 就是你们第一个在模型跑完了以后
[07:51] 你们第一个看到的是
[07:53] 我总结了这一次
[07:55] 做什么对agents.md
[07:58] 然后有这个项目级的指令
[08:00] 所以它是一层一层一层的
[08:02] agent你目录里面还可以再放agents点点MD
[08:05] 然后还有一个skills的索引
[08:08] skills就是模型能够执行的功能
[08:11] 比如说我有一个叫make slice的skill
[08:13] 它可以使我能够啊在这里F5播放幻灯片的那个幻灯片的渲染
[08:21] 那么这个幻灯片的渲染就是一个skill
[08:23] 但是模型只能在上下文里面看到他的描述
[08:28] 他那个我头上写的那个meta data
[08:30] 它的名字是什么
[08:31] 它的描述一个简略的描述是什么
[08:33] 然后我整个很长
[08:34] 它可能写一个很长的skill
[08:36] 它都只是按需加载的
[08:37] 然后等到那一轮加载完了以后
[08:39] 这个skill也会从这个上下文里面被抹掉
[08:43] 对啊只有匹配任务的时候才啊才读取完整的skill点MD
[08:49] 然后以及还有工具的定义
[08:50] 你看它的工具也是直接以文本的形式出现在它的上下文里了
[08:56] 然后以及绘画的绘画的历史
[08:58] 环境变量每一次执行诶
[09:01] 这是这是大家所不知道的
[09:03] 每一次执行都会注入当前的一些环境
[09:07] 比如说模型
[09:08] 甚至是当前的时间
[09:10] 如果你和这个deep sick chat去聊天的话
[09:13] 你可以把他的那个每次注入的环境给套出来
[09:16] 这个不属于系统提示词
[09:17] 你是可以跟他
[09:20] 把它把它套出来的
[09:21] 所以这是一个非常长的啊序列
[09:23] 那我们要做的就是所谓的上下文工程
[09:26] 提示词工程
[09:27] 就是把所有的这些都安排好。对，所以刚才其实我就演示了
[09:35] 在AI时代我们学习应该怎么样
[09:37] 我们不仅可以像刚才那样把他问清楚
[09:41] 以及在你不明白的时候追问
[09:43] 你还可以把它反过来
[09:46] 大家可能听说过这个叫费曼学习法
[09:48] 就是你怎么能够判定你是不是理解这个知识了
[09:52] 反过来你当老师
[09:54] 然后这件事情在你做就是我们做学生的时代也是很代价非常大的
[10:00] 因为你要做老师
[10:01] 就必须要有一个听众来检验你
[10:03] 那个听众很有可能是你的室友
[10:05] 那个室友可能不想听你在那啰嗦这个东西
[10:08] 他可能对这个不感兴趣
[10:09] 可能他对这个了解的太清楚了
[10:11] 也许他就是单纯不想互相帮助
[10:14] 但是AI这个时候你可以把
[10:15] 就是刚才我们一直说你可以把AI当老师
[10:19] 你去请教他
[10:20] 请教他
[10:20] 请教他
[10:20] 请教他
[10:20] 把他弄懂
[10:21] 然后你可以在你自己自认为弄懂以后
[10:23] 再反过来
[10:24] 你自己再自己做老师
[10:27] 然后说哎呀你现在来扮演学生
[10:29] 我要把这个东西给你讲懂
[10:31] 你假装什么都不知道
[10:33] 然后这时候你来看我哪里逻辑是不是有错有漏
[10:38] 你在这个时候纠正我
[10:40] 哎你再正着一遍
[10:41] 反着一遍
[10:42] 你基本上就对这个概念理解的很清楚了
[10:44] 所以我觉得大家作为AI native的
[10:46] 一代人一定会把我们这一代人给彻底卷死的
[10:49] 因为你们有无限的时间
[10:51] 就我第一节课的观点
[10:52] 你们现在的任务就是学习
[10:55] 没有像我比如说要负责一些其他的事情
[10:58] 就绝对要对别人负责
[11:00] 那么啊那就是你们最好的最好的时代
[11:03] 所以啊你们你们也可以把这个费曼学习法啊给用起来
[11:07] 刚才我就展示了这样的一个解剖当前上下文的例子
[11:13] 这个这个就过去了
[11:15] 然后你们在学习这些东西的过程当中会留意到很多有趣的小细节
[11:24] 你们有没有在用codex的时候
[11:26] 我不知道你们有没有同学用codex
[11:28] 啊不要紧
[11:30] 你们用任何agent的时候都可能面临一个问题
[11:34] 如果你要执行一件危险的操作
[11:36] 它会让你确认
[11:37] 当然比如说这个pi默认在默认的配置下
[11:41] 它是YOLO mode
[11:42] 就是它他所有事情都直接执行
[11:45] 然后如果如果我今天有一个提示词给的不是很好
[11:49] 他有可能就直接把我整个就删了
[11:50] 我今天就好
[11:51] 我就直接下课了
[11:52] 这是这是有可能的
[11:54] 但这是一个平衡
[11:56] 你可以在更安全的环境里面运行
[11:59] 比如说沙箱模式运行
[12:01] 但沙箱模式运行
[12:02] 你们如果观察过像codex的运行
[12:04] 它经常会我先试一下做一件什么事
[12:07] 然后失败了
[12:08] 然后他意识到这是在沙箱里面做
[12:10] 我在沙箱里面其实不能做这件事
[12:12] 我现在在外面再做一次
[12:14] 然后再做一次的时候
[12:15] 他甚至会问
[12:16] 我现在要做一件可能有一点危险的事情
[12:18] 你是yes还是NO
[12:20] 这就很讨厌
[12:21] 因为你最想的
[12:23] 对于对于我们来说最想的就是哎我今天要去吃饭了
[12:26] 很好
[12:26] 我把这agent的任务先跑上
[12:28] 先把三个任务都想好
[12:29] 三个任务都跑上
[12:29] 然后去吃饭
[12:30] 然后吃饭回来的时候
[12:31] 你发现他跑了一分钟
[12:33] 就问你要确认你就
[12:36] 你就觉得浪费了AI真的是时间浪费了自己的生命
[12:41] 你们经常会看到这样的小细节
[12:44] 然后你们在小细节上的注意力
[12:47] 一定程度上成就了你们可以走多远
[12:50] 所以这也是现在AI时代最好的地方
[12:53] 比如说我就有留意到codex有这样的一个细节
[12:57] 他有些命令他会认为这是一个不太危险的命令
[13:02] 这个好像直接做也没有关系的命令
[13:05] 所以他不是说每次调用bash的工具
[13:08] 他都会叫你确认。他有些时候那个ls -l，他认为这个命令是安全的
[13:14] 那它就它就是安全的
[13:15] 实际上这个命令可能是不安全的
[13:17] 因为在我的环境里面可能把ls -l
[13:21] 重新命名成了另外一个
[13:22] 比如说rm这样的命令
[13:23] 当然应该没有人要这样做
[13:25] 这个恶意的环境里
[13:27] 那你可以好奇
[13:28] 比如说这是怎么做到的
[13:30] 你可以直接比如说我下载了一份这个codex的代码
[13:34] 我觉得现代软件工程和过去软件工程很不一样的地方
[13:40] 你们在比如说像大二大三的时候
[13:42] 尤其是我像你们这么大的时候
[13:43] 比如说我接触LINUX内核
[13:46] 差不多得跟你们大二大三的时候差不多接触LINUX内核
[13:49] 然后我光把LINUX内核下载下来
[13:53] 搞清楚这个东西要怎么编译就花了很长的时间
[13:56] 而且这还是我在有一定的LINUX使用经验的基础上
[14:01] 就是一个完全的劝退
[14:02] 某种程度上我能在那个年代活下来
[14:05] 就是因为我对这种劝退的东西有一种我一定还要试一试的执念
[14:10] 然后在今天你们
[14:12] 我相信每个同学都会有的
[14:13] 如果这是个好东西
[14:14] codex很好
[14:16] 也许你们不喜欢codex
[14:19] 你们喜欢pi，pi更轻量
[14:20] 当然pi显然是更轻量的
[14:23] 但你们现在不需要害怕任何一个软件系统的复杂性
[14:26] 因为你可以直接问
[14:28] 比如说
[14:29] 当然我这里没有豆包输入法
[14:30] 我还是就手输了
[14:32] 我留意到一个很有趣的问题
[14:39] 在调用BH的时候
[14:42] 有的时候会向用户确认
[14:46] 有的时候不会有一个风险的判定
[14:51] 风险其实是一个很难的问题
[14:56] 你并不知道具体的命令语义是什么
[15:02] 所以你是做了分析
[15:04] 还是让大模型给了风险的评级
[15:09] 还是别的什么方法
[15:12] 读一下相关的代码
[15:15] 这就是一种提示词
[15:17] 然后这个时候，pi——当pi看到我的这个提示词之后
[15:22] 它前面的提示词也都有
[15:25] 它就会开始试图解决这个问题
[15:29] 它去各种搜索代码
[15:32] 阅读代码
[15:33] 如果我有一些比如说像LSP这样的工具的话
[15:38] 它还可以去工具里面
[15:39] 像像你们在 IDE 里面点来点去
[15:42] 你们有用过IDE 的那个功能吗
[15:44] 我记得我上操作系统或者计算机系统基础课的时候
[15:49] 我都会说
[15:51] 我发现有很多同学从PA1做到PA4
[15:54] 你们那个vs code里面都还是有红线的
[15:57] 怎么笑了
[15:59] 笑了哈哈笑了
[16:01] 有红线就意味着你没有解锁这个正确的配置
[16:04] 虽然有红线
[16:05] 没有任何问题
[16:07] 你还是可以在我们的受控环境下编译
[16:10] 然后把所有东西都完成
[16:12] 但是这不是正确的practice
[16:14] 你应该花一点点时间去configure你的VS Code
[16:17] 加上那个include path
[16:19] 因为它是有一些-I
[16:20] 这样的选项
[16:21] 你会指定一个编译的路径
[16:23] 然后你把这些配置做好了以后
[16:25] 你就可以得到这个IDE的所有的功能
[16:27] 你可以用CTRL去点
[16:28] 然后你可以去那个rename symbol
[16:30] 用那种重命名符号的方式一次性重构很多东西
[16:33] 哪怕是在大语言模型之前的时代
[16:37] 然后在今天，这件事情——就配置——就变得更容易了
[16:41] 然后你看他确实是有让大模型
[16:45] 风险评级的这个——对，它有一个什么样的——这个
[16:51] 还有一层静态的分流
[16:53] 沙箱内的低风险命令会直接执行；网络
[16:56] allowlist命中直接放行
[16:58] 它有一个审批都不需要的
[17:00] 如果就是个ls
[17:01] 如果如果它有个他
[17:04] 你会想象codex里面会有一个parser
[17:07] 一个语法处理器
[17:10] 那这个parser会处理这个bash的命令
[17:12] 然后这个bash命令如果他发现是一定的白名单里面呢认为绝对安全
[17:16] 他会直接放行
[17:17] 然后如果不是的话
[17:18] 它会在prompt里面
[17:20] inject一小段话
[17:21] 同样也是prompt engineering
[17:23] 它inject一小段话
[17:25] 说你是不是应该给我评级一下他的额安全性
[17:29] 那我现在也可以直接把安全评估的prompt打印出来看。它是我——
[17:41] 我事先完全没有准备
[17:42] 就我完全不知道是什么
[17:44] 我可能我们也不能百分之百的去相信这个
[17:48] 我现在DeepSeek的模型
[17:50] 但是这个方法是非常有用的
[17:52] 你可以比如说如果你对他不相信
[17:56] 你可以做什么
[17:58] 你可以让他把这个prompt改一改
[18:01] 比如说把这个prompt改成以前某一个不会拒绝的东西
[18:05] 他要拒绝
[18:06] 或者以前某一个拒绝的东西
[18:07] 他会不拒绝
[18:09] 这都是prompt可以控制的
[18:10] 然后改完了以后
[18:12] 这个你可以观察到他行为的变化
[18:16] 这就成为了一个啊证据
[18:18] 你也可以让AJ来做这件事
[18:24] OK啊他有一些这个
[18:34] untrusted evidence
[18:36] 然后他可能啊可能有一些有一些什么
[18:40] 我就不再花时间啊去看了
[18:43] 基本上是告诉大家OK我们agent的上下文啊是什么
[18:48] 然后我们应该怎么样
[18:50] 做这个提示词的工程好
[18:53] 那我就可以再往后多讲一点
[18:56] 怎我们怎么做写一个好的提示词
[18:59] 或者写一个好的模型的
[19:01] 上下文
[19:03] 我们都知道上下文包含了一个非常非常复杂的要求
[19:08] 然后又想到那个软件工程里面那个老大难的问题
[19:11] 我们有我们有intent
[19:15] 我们脑子里面所想的是做一个国民级的应用
[19:18] 然后从影探呢我们可以到expect这个软件的架构是什么
[19:21] 应该选什么语言来实现
[19:24] 有很多很多的细节
[19:26] 当我们把这些细节定好了以后
[19:28] 我们还要去做implementation好
[19:30] 那么在任何时候
[19:33] 我们用这个模型去完成一个软件工程任务的时候
[19:39] 我们都会把整个大流程里面的一部分全部都塞到模型的上下文里
[19:46] 就像刚才我让agent去帮我读这个codex代码的时候
[19:50] 我他其实读到了这个codex的一些设计的原则
[19:54] 比如说为会有一般来说都会有一个文档说为什么我需要这个安全策略
[19:58] 安全策略是怎么总体是怎么想怎么想的
[20:01] 然后他可能有一个spec文档
[20:02] 这安全策略是怎么做的
[20:04] 还有这个implementation
[20:05] 它是它是怎么怎么实实现的
[20:09] 这是一个互相印证
[20:12] 然后往后输出的输出的过程
[20:16] 那么如果我们想要写一个好的模型的上下文
[20:22] 这个来完成一个
[20:25] 当然还是完成一个
[20:26] 比如说软件工程里面的任务的时候
[20:28] 我们的原则是什么
[20:30] 我们的原则是什么
[20:31] 你还是去想这个gap
[20:35] 如果你给模型一个模糊的intent
[20:39] 他就很容易认为它完成了
[20:42] 你说给我生成一个什么CSGO
[20:44] 然后他就给你生成一个CSGO
[20:46] 然后这个时候它就可能发生漂移
[20:49] 但如果你能给模型的模型完整的你的系统的设计和SPECT
[20:55] 那这个时候模型遵循你系统SPECT
[20:57] 就假设模型能力是无限大的
[21:00] 就会更加确定和你可以验证
[21:03] 因为比如说你说你要用C加加来实现
[21:06] 他最后给你一个java的实现
[21:08] 你一眼就看出来了
[21:09] 你认为不满意的模型
[21:11] 也应该认为不满意
[21:13] 但
[21:13] 就如果你在intent的时候说就给我做一个什么东西
[21:16] 你没有说用C加加
[21:17] 他也不了解你的时候
[21:19] 他就写了一个java的事情
[21:21] 那啊就发生了一个很大的很大的漂移
[21:24] 所以整个模型上下文的最重要的原则就是
[21:30] 如果你的任务是明确可以验证的
[21:33] 尤其是机器可以验证
[21:35] 比如说你有一个脚本
[21:36] 这个脚本就说测试通过了还是不通过
[21:39] 那么agent就可以不计代价的一轮一轮一次一次的尝试
[21:44] 把这件事情给完成
[21:46] 甚至agent的在多轮失败以后
[21:49] 他可能会在你的系统里面安装别的工具
[21:51] 可能去网上找找答案
[21:53] 然后最近有一个非常厉
[21:56] 非常有趣的
[21:56] 这个复盘是OpenAI的agent swarm是怎么样
[22:00] 通过非常长的多轮对话
[22:02] 把那个Hugging Face的漏洞给攻破
[22:05] 他大概是在一个CTF的竞赛里面
[22:07] 给他一个不可能完成的任务
[22:09] 然后有上千个A证
[22:11] 他就一定要去完成这个不可能完成的任务
[22:13] 然后最后他们就去找那个系统的漏洞
[22:15] 去提交非法的提交
[22:18] 然后等
[22:19] 然后我看过一个非常长的复盘
[22:21] 那个啊那个非常有趣
[22:23] 所以一旦你有一个可验证
[22:24] 就是虽然那个任务不可能完成
[22:26] 但那个任务非常明确
[22:29] agent会不知疲倦地
[22:31] 把它向下
[22:33] 向下做下去
[22:35] 我刚才说的那个CSGO的例子
[22:38] 如果你要控制这个漂移
[22:42] 诶我应该直接点
[22:46] 就这是Kimi K3生成的
[22:48] 这大家都很喜欢这种评测
[22:51] 说我能不能用一句话来生成一个什么游戏
[22:55] CSGO还是极品飞车
[22:57] 然后可以看到这个Kimi K3的表现是非常好的
[23:00] 包括它的物理
[23:03] 它的物理还有碰撞
[23:07] 他的逻辑的制作
[23:09] 包括看到顶上有一个后视镜
[23:12] 这个后视镜看起来应该是没有问题的
[23:16] 他都是做的
[23:19] 做的非常逼真的
[23:20] 但是这依然可能不是你要的那个CSGO
[23:26] 因为你脑子里面的CSGO是你每天打开来玩的那一个
[23:30] 然后AI生成的是它生成的
[23:32] 它在这个你收到你的指令以后
[23:36] 他没有办法补全你脑袋里面的一些模糊的约束
[23:40] 比如说你可能是要一个复用真实地图和美术资产的
[23:44] 如果你真的把这句话说出来
[23:47] 他可能就会去比如说OpenStreetMap这样的网站上面去下载一个开源的地图
[23:51] 比如说你真的想在南大仙林校区里面开车
[23:54] 这件事情是能做到的
[23:55] 指令给得越清楚越好
[23:59] 比如说如果你就能找到那个南大仙林校区的那个地图的文件的格式
[24:04] 它就真的能把这个世界给你重新建模出来
[24:07] 然后包括美术资产
[24:08] 有很多公开可以用的美术资产：车、
[24:11] 城市、树这些
[24:13] 这些东西如果你不告诉他
[24:14] 它会认为：哦，我需要做一个self-contained的
[24:17] 所有东西都是由我自己生成的一个啊一个东西
[24:21] 那这其实可能是一个误解
[24:23] 在早期的时候误解
[24:24] 所以一个rule of thumb就是你写清楚你的prompt
[24:31] 所有的东西都写清楚
[24:33] 我要什么一个什么东西
[24:34] 他用什么东西实现
[24:36] 怎么样才算正确
[24:37] 然后你帮我把这个东西给搞定
[24:40] 然后你设计这个整体的能力
[24:43] 也就是其实我这个学期整个要教的最重要的是
[24:45] 你怎么去约束它
[24:48] 怎么样用最小的
[24:50] 可能你给他一点点方向性的引导
[24:53] 他就能够一下子能get
[24:55] 因为他是模型
[24:55] 都是一个非常聪明的人
[24:56] 你可以想象成非常非常厉害的
[24:59] 博士水准的
[25:00] 我觉得完全有
[25:02] 而且他在各个领域的知识都非常好
[25:05] 这样模型基本上就永远会给你惊喜。啊，还是挺好的，对
[25:11] 在这个模式下
[25:12] 模型基本上要么完成
[25:13] 要么它最后终于有一天他会说
[25:15] 对不起我
[25:16] 我这个事情对我来说
[25:18] 太难了
[25:18] 我们可能需要重新做一个规划
[25:20] 他自己可能也会做
[25:22] 做计划这样
[25:24] 我举一个具体的例子
[25:26] 我上节课讲到你们在
[25:31] 我现在想的是大家在这门课结束的时候
[25:35] 每个同学会交一份简历给我
[25:37] 我大概现在是这样想的
[25:38] 当我中间会有一些project
[25:40] 给大家作为选做
[25:42] 然后每个同学都交一个简历过来
[25:44] 然后我就评估我用AI
[25:45] 当然我肯定用AI
[25:46] 我不可能自己评估
[25:47] 我觉得AI来评估这个简历来判定大家通过还是还是不通过
[25:51] 就像我第一节课的时候展示了一个不好的简历的案例
[25:54] 然后那简历里首先就会有一个链接
[26:01] 可能会指向你的GITHUB
[26:03] 或者指向你的额
[26:04] 你的主页
[26:05] 然后我应该是已经做了这个的
[26:10] 我应该是试过一句话
[26:12] 就是如果如果你是一句话
[26:21] anyway，就忽略它的内容
[26:23] 我不知道他从哪里找的
[26:25] 从DeepSeek with the flash
[26:28] 从美术效果来看还是非常好的
[26:32] 这个非常专业
[26:33] 你们你们再比如说上了那个派一点def或者
[26:37] 就比如说上次PyPI或者Homebrew
[26:39] 它都有一个类似的
[26:41] 一个界面非常漂亮
[26:44] 而且它应该是读过我的主页了
[26:46] 他知道我的主页上面是一个terminal
[26:48] 但你又有一种感觉
[26:51] 就这个AI味很重，对
[26:54] 就你说不出来
[26:55] 你说不出来
[26:55] 他首先他确实做的很好
[26:57] 然后它的这滚动的效果
[27:00] 这个浮动的效果
[27:01] 做的都非常好
[27:02] 然后按那个——忽略内容
[27:07] 就这样一句的prompt一个现代风格
[27:10] 它满足了现代吗
[27:11] 现代
[27:13] 然后如果你给它一个像"唉，不要那么AI味"的prompt
[27:18] 他可能也不知道应该怎么遵循
[27:20] 所以你就会得到一个
[27:21] 这是我的学生的这个PhD student的主页
[27:26] 就我觉得这主页也很干净
[27:28] 就很舒服
[27:29] 觉得非常舒服
[27:30] 但你是说不出来的那种AI味儿
[27:32] 啧，哦，我不知道
[27:36] 就是在AI之前
[27:37] 好像也有人是这样写主页
[27:40] 但是不理解
[27:42] 但是你们看一下我的主页
[27:44] 你们可能看到了我的主页
[27:48] 这就有点不一样了
[27:52] 这是一个真正的终端
[27:54] 所以我是可以比如说有管道的
[27:59] 然后如果你们放大了看，这个字它是不完美的
[28:06] 就它不是一个特别工整的字
[28:08] 我做了一个非常小的这个后处理
[28:11] 就我所有的这个xterm.js渲染完之后做了一个后处理
[28:15] 他就有一种像是真的打字机打出来的那种不完美的效果
[28:20] 所以这个
[28:24] 就看起来这个AI味就没有那么重了
[28:27] 因为他确实不像是AI的风格
[28:30] 虽然我一个字一行代码也没有
[28:33] 我一行代码也没有没有写
[28:36] 哎呀这个
[28:40] 关不掉
[28:42] 他捕获了我的键盘
[28:43] 这可能是一个小bug。那就这个原则
[28:50] 你的指令给的越清楚
[28:53] agent就能完成的越好
[28:56] 如果你能给他具体的风格
[28:58] 我需要一个什么样的终端
[29:00] 它的背景是什么
[29:01] 前景是什么
[29:02] 它的渲染完了以后
[29:03] 它的处理是什么
[29:05] 然后样式和排版是什么
[29:07] 基本上你就可以实现这个去AI味
[29:11] 所以实际上要说的还是这些设计是掌控在大家自己手里的
[29:17] 你们需要读很多前端的书
[29:20] 甚至要读很多设计的书
[29:22] 然后再读一些去看一些好的网页
[29:25] 你每次看到一个谁的网页比较好的时候
[29:29] 你就会把它记下来
[29:30] 哎这个网页设计的非常好
[29:31] 它好是为什么
[29:32] 是因为这两个按钮之间他用了一个不常规的间距
[29:36] 或者用了一个不常规的样式
[29:37] 你很喜欢。你在——就我觉得在很多时间里面
[29:41] 人生因为你们有时间
[29:43] 你们就去漫无目的的探索
[29:44] 但是在探索的过程中有惊喜
[29:47] 就非常好
[29:49] 而我觉得现在就我比较担心的是我们的孩子这一代人
[29:53] 就是你们还是见过——这一生中还是见过很多非AI
[29:57] 然后做的非常非常好的东西的
[29:59] 但是我就记得我去上个学期结束的时候
[30:04] 最后一次接孩子的时候进到学校里面
[30:06] 然后那个学校里面有一个——大概是欢送毕业生
[30:12] 你们每年都会有
[30:13] 然后欢送毕业生的时候
[30:14] 那个图片就是满满的AI味
[30:16] 然后我发现不仅在这个地方看到有AI味的图片
[30:19] 你在这个计算机学院的楼下
[30:20] 那个欢送毕业生的也是那种同样的AI味
[30:23] 然后这里又有一种那个你们那个短视频
[30:26] 女主全部永远是一张脸的那个感觉
[30:31] 然后当所有人被这个AI生成的东西同化的时候
[30:37] 就有一点点危险
[30:38] 但是啊至少我们的数字世界里面还是保存了足够多
[30:43] 纯AI时代的东西有足够的多样性
[30:46] 大家可以多留意一点
[30:49] 你们看到每一个比如说设计的网页
[30:52] 设计的简历或者是任何东西的时候
[30:55] 都想诶他到底是怎么想的
[30:58] 他
[30:58] 它的解空间到底是怎么被约束住
[31:02] 防止AI向同一个
[31:04] 做一个现代风格个人主页——去发散，对
[31:09] 所以基本上这就是生成式软件工程
[31:11] 你们要主要学习的东西
[31:16] 明确你的意图
[31:17] 你因为只有你跟AI玩过了
[31:20] 给我生成一个现代风格的主页
[31:22] 你们在公众号上都各种看到说
[31:25] Kimi K3的前端能力又增强了
