[00:00] 我干了什么呢?这是我的Neovim,对吧?
[04:23] 你们投了很多的简历,海投很多的地方的简历。
[04:29] 然后我其实也收到了很多这样的简历。
[04:33] 我觉得很糟糕啊,这是一个简历。
[04:41] 首先,所有这一切都是AI做的。
[04:45] 我没有干任何事,我就告诉他,有一份简历,然后我现在需要在上课的时候展示一下。
[04:52] 我需要把他个人信息给取掉。
[04:55] 这是他把他字符替换成unicode的方块。
[04:59] 如果复制粘贴的话,你会看到这是一个黑色的方块的字符。
[05:04] OK,希望他把这个隐私都隐掉了。
[05:09] 然后就这样的一份简历。
[05:13] 就非常完美的简历啊,一个CCF期刊列表上面的论文。
[05:20] 这个简历对我来说是一个零分的简历。
[05:23] 因为没有额外的信息,它甚至没有一个github的链接,没有一个个人的主页,没有一篇这个东西preprint。
[05:33] 这是一个,我不知道这位同学发生了什么。
[05:39] 但是对我来说,这样的一份简历非常的糟糕。
[05:44] 然后更糟糕的是,我收到过无数份这样的简历。
[05:49] 然后可能你们的简历多多少少也是长这个样子的。
[05:52] 然后这个时候就你发现,你和你的竞争者已经无法区分了。
[05:57] 所有人都是,我有一大堆实习,我有一大堆奖项,我有一大堆论文,我有一大堆竞赛。
[06:01] 也是長這個樣子的
[06:03] 然後這個時候就你發現
[06:05] 你和你的競爭者已經無法區分了
[06:07] 所有人都是
[06:08] 我有一大堆實習
[06:09] 一大堆獎項
[06:10] 一大堆論文
[06:11] 一大堆競賽
[06:13] 那是什麼能
[06:15] 讓你從這些簡歷裡面脫穎而出
[06:17] 如果剛才那份簡歷
[06:19] 都被我認為是零分的簡歷
[06:21] 你們應該怎麼樣
[06:23] 向你的未來的導師
[06:25] 去展示你自己
[06:27] 所以我相信在座同學都非常的
[06:29] 焦慮
[06:30] 當然好消息是我覺得我希望用
[06:32] 這一門課來緩解一下
[06:35] 大家這樣的焦慮的情緒
[06:37] 更多的是帶大家覺得
[06:39] 還原一種快樂
[06:41] Vibe Coding的快樂
[06:42] 因為我覺得在Vibe Coding中我得到了
[06:44] 很多的快樂
[06:45] 然後在這個快樂當中你又能
[06:47] 一定程度上
[06:49] 去理解
[06:50] 比如說軟件工程是怎麼工作的
[06:51] 然後能做出
[06:53] 做出一些有趣的東西
[06:54] 然後能讓你的簡歷顯得
[06:56] 顯得更好
[06:57] 對我來說
[06:58] 我覺得你有一篇發表論文
[07:00] 可能是一個減分項
[07:02] 對很多其他人來說
[07:04] 可能還不是的
[07:06] 所以我講了為什麼
[07:07] 我要來上這門課
[07:09] 然後
[07:10] 我們來講講這門課
[07:12] 到底打算講什麼
[07:14] 這門課的題目叫
[07:16] 生成式軟件工程
[07:17] 所以我其實是一門軟件工程課
[07:19] 軟件工程做什麼
[07:20] 軟件工程做的事情很簡單
[07:22] 怎麼樣讓軟件工程不失敗
[07:24] 怎麼樣造出一個
[07:26] 一個軟件來
[07:28] 我們經常聽說的
[07:30] 你們作為人
[07:32] 和AI比你的優勢在哪裡
[07:34] 你可以坐牢
[07:35] AI不能
[07:37] 實際上我覺得大學裡面
[07:39] 能教你的
[07:41] 或者說能
[07:43] OK你作為人吧
[07:45] 或者說你在大學畢業的時候
[07:46] 你能擁有的能力
[07:47] 比較重要的
[07:48] 第一個是信息差
[07:49] 這是人類社會比較
[07:51] 也不能說可悲吧
[07:53] 人類社會要
[07:54] 要進步必須的
[07:56] 必須有的事情
[07:58] 你有信息差
[07:59] 你有別人不知道的信息
[08:00] 你才能做別人做不到的事
[08:02] 所以在學校裡面
[08:03] 多多少少
[08:04] 你們也會有這種惡性競爭
[08:06] 你假想一個情況
[08:07] 你擁有一個往年試卷
[08:09] 然後這個往年試卷
[08:10] 別人都沒有
[08:11] 然後你就可以在競爭當中
[08:13] 生出這種
[08:14] 你們身邊的信息差
[08:16] 當然還有很多
[08:18] 其他的不能說的信息差
[08:20] 在社會上面
[08:21] 廣泛的存在
[08:23] 除了信息差以外
[08:24] 你作為一個人的優勢
[08:26] 是你可以坐牢
[08:27] 但是大學裡面
[08:28] 真正教你的
[08:29] 是怎麼樣成為一個更好的人
[08:31] 就是你能夠駕馭
[08:32] 別人駕馭不了的東西
[08:33] 你在大學畢業的時候
[08:34] 你可以說
[08:35] OK 我是一個更好的人
[08:36] 然後我有一個別人沒有的能力
[08:39] 所以可能這門課試著
[08:42] 去幫大家
[08:44] 建立駕馭人工智能的威力
[08:48] 所以這門課怎麼上
[08:50] 怎麼上
[08:51] 用一個案例為主的
[08:53] 比較鬆散的組織
[08:54] 所以如果你們有興趣來
[08:56] 比如說想跟我討論一下的同學
[08:58] 想要挑戰
[08:59] 我說這個老師
[09:00] 你這樣做不對
[09:01] 那就歡迎大家來線下
[09:04] 然後如果你是一個
[09:05] 聽課型的同學
[09:06] 就是你希望從這門課裡面
[09:08] 獲取知識
[09:09] 那我是完全建議大家
[09:11] 就既不用到課
[09:13] 也不用看直播
[09:14] 因為我今年也想
[09:17] 做一個非常有趣的嘗試
[09:20] 你已經看到了
[09:21] 這是我的slides
[09:23] 對吧
[09:24] 這是我的slides
[09:25] 然後我按F5的時候可以播放
[09:27] 然後你可以看到
[09:28] 這個F5播放的slides
[09:30] 和剛才那個Markdown
[09:32] 是有點不一樣的
[09:33] 我把它關掉
[09:38] 左邊是我上課之前寫的講義
[09:41] 相當於我會先想好
[09:43] 我今天上課的時候
[09:44] 大概在這個時間應該講什麼
[09:47] 舉什麼樣的例子
[09:48] 相當於我要約束好AI做什麼
[09:51] 然後當你看到F5播放這個slides的時候
[09:53] 有這個紫色的部分
[09:55] 紫色的部分就是
[09:56] GPT-5.6Soul
[09:57] 給我添油加醋加上去的部分
[09:59] 我有一個提示詞一會兒
[10:02] 我現在應該就可以給大家看一下
[10:09] 有一個提示詞大概是這樣
[10:12] 就一個skill叫make slides
[10:16] 然後我就可以從一個
[10:18] 我的一個Markdown
[10:19] 就我寫好的那個演講稿裡面
[10:21] 讓他添油加醋的去做點有趣的事情
[10:25] 比如說
[10:27] 比如說我有一個
[10:31] 類似於我的AI梗同學的skill
[10:35] 我會讓他生成三個subagent
[10:38] 然後給他們賦予不同的personality
[10:41] 這個非常有效果
[10:44] 有的agent會幹這個
[10:45] 有的agent會幹那個
[10:46] 它在隔離的上下文裡
[10:47] 然後最後我的主agent會回來彙總
[10:50] 這樣我就可以通過算力來換智力
[10:53] 我付出更多的算力
[10:54] 我就有更多的智力
[10:55] 所以我其實經過對比了
[10:57] 我換了幾個版本的提示詞
[11:00] 然後每一個版本提示詞
[11:01] 我都會重新生成一次
[11:02] 然後我最後會有一個review
[11:04] 另外一個別的模型
[11:06] 在盲評
[11:08] 到底哪一個生成的slides的質量比較高
[11:12] 然後我基本上就調到了一個
[11:13] 可能相對來說
[11:15] 質量比較高的slides
[11:17] 所以你看到比如說圖片
[11:18] 全部都是生成的
[11:20] 所有的圖片都是生成的
[11:24] 所以我希望的是探索一條
[11:27] 能夠真正殺死大學所有人的路徑
[11:31] 我認為如果你是來學習的
[11:33] 那更高效的方法
[11:35] 比如說我做一個老師
[11:36] 我應該思考的是怎麼樣
[11:38] 把知識以更好的方式呈現給大家
[11:41] 而我的答案是
[11:43] 我應該在上課的時候
[11:45] 上課是一種表演
[11:47] 比如說我是一個演員
[11:49] 要調動大家的情緒
[11:51] 然後我上課的時候跟大家交流
[11:53] 然後根據我的預先設定好的劇本
[11:57] 去做一場演出
[11:59] 然後在演出完了以後
[12:00] 我需要做一件很重要的事是
[12:02] 我要review我今天的表演
[12:05] 因為我有的時候
[12:06] 我今天舉這個例子可能不是特別的恰當
[12:08] 或者在我回過頭來的時候
[12:11] 我想到也許我講另外一個案例
[12:13] 大家能夠更加的感同身受
[12:15] 因為你看到我在上課的時候
[12:17] 有一些部分是即興的
[12:18] 但即興的一個其實是不完美的
[12:20] 而我在課後
[12:22] 我會把我的課程
[12:23] 因為我錄像了
[12:24] 大家看到
[12:25] 我可以把課程的錄像
[12:28] 切片
[12:29] 重新整理成片段
[12:32] 因為我是從
[12:34] 這樣的content as code來的
[12:36] everything is code
[12:40] 我就可以把我上課的那個
[12:42] 錄像
[12:43] 就這次的表演
[12:44] 重新回到這個code上
[12:46] 把它變得更豐富
[12:47] 然後我不就實現了數字永生了嗎
[12:50] 我就實現了一個課程的
[12:52] 數字永生
[12:54] 對
[12:57] 然後你看到就是我
[12:58] 我的這一套slides是怎麼工作的
[13:01] 我的這個流程是怎麼工作的
[13:02] everything is code
[13:04] 你能看到這個世界裡面的一切
[13:06] 都可以用代碼來審查
[13:09] 包括這個桌子
[13:10] Computer Aided Design, CAD
[13:12] 這個桌子一支電腦
[13:15] 那這個slides是怎麼工作
[13:17] 剛才你看那個markdown是Source of Truth
[13:20] 然後你看到的所有的其他東西
[13:22] 圖片
[13:23] 幻燈片全部都是
[13:25] AIGC
[13:26] 然後我會
[13:28] 我會把這個選中的snippet
[13:30] 由agent去擴寫
[13:31] 變成markdown slides
[13:32] 再到瀏覽器裡面
[13:34] 渲染出來
[13:36] 然後
[13:38] 我希望的是能夠切片的方式
[13:40] 得到一個完美的
[13:42] 比如說我今天要講生成式軟件工程
[13:44] 它的要點是什麼
[13:46] 邏輯是什麼
[13:47] 第一節課應該怎麼上
[13:49] 沉澱成一個程序
[13:51] 然後這個程序
[13:52] 也許現在是由我維護的
[13:54] 也許比如說有一天我不維護了
[13:55] 我操作系統課我現在不上了
[13:57] 我會把操作系統課
[13:58] 我的B站的錄像
[13:59] 整理成這樣的切片
[14:00] 然後可以由全世界的人來維護它
[14:03] 你想要定制一個什麼樣的
[14:05] 我的操作系統課
[14:06] 你就可以把它定制成什麼樣子
[14:08] 然後這不就把所有的
[14:10] 這個
[14:11] 大學
[14:12] 教課的方式給列入了嗎
[14:14] 我覺得這是一個
[14:15] 可能實現的路線
[14:16] 所以我會在這門課上
[14:17] 做一個比較輕的嘗試
[14:19] 也歡迎大家隨時可以給到我
[14:21] 反饋
[14:24] OK好
[14:26] 所以我這門課
[14:29] 的policy是
[14:30] 我希望
[14:32] 重新找回同學們心中在
[14:35] 大學的時候那種
[14:36] 上課耽誤學習的感覺
[14:38] 就雖然可能你們還是要上課
[14:40] 但我推薦大家第一個
[14:41] 你們可能可以不要上課
[14:43] 然後你們可以去在這門課上
[14:46] 實踐
[14:47] 我會帶著大家實踐
[14:48] 我後面有很多真正實踐的案例
[14:51] 然後讓你們知道在AI的時代
[14:53] 你們學習的方式變了
[14:54] 你們工作的方式也變了
[14:56] 你們可以盡快地適應這樣的一個
[14:58] 非常有趣的時代
[15:00] 然後我的要求是
[15:01] 禁止古法編程
[15:02] 我相信你們
[15:04] 個個都是古法編程的好手
[15:06] 因為你們要考試
[15:07] 馬上你們要保研要機試了
[15:09] 要機試的時候就把你們一關
[15:10] 小黑屋裡閉關
[15:11] 你們看過我以前出的題
[15:12] 然後就嚇尿了
[15:13] 然後趕快再去LeetCode上
[15:15] 再刷一下
[15:16] 但我覺得總有一天這個事情
[15:20] 會改變的
[15:21] 可能從上而下傳導
[15:24] 不會那麼快
[15:25] 你要改變一個體系很難
[15:27] 但是我非常想要
[15:30] 撕開一個小的口子
[15:33] 然後有幾個policy
[15:34] 第一個token自費
[15:36] 因為本來我是想去
[15:38] 拉一些token的贊助的
[15:40] 想拉一些贊助token
[15:41] 但是當我看到選課的學生
[15:44] 數量的時候
[15:46] 我就想還是算了
[15:47] 我也沒有必要再去
[15:49] 跟他們拉著臉去
[15:52] 要好多好多的token
[15:53] 也比較麻煩
[15:54] 首先我有個個人觀點
[15:56] 如果你們手上沒有token
[15:57] 沒有付費的token同學
[15:58] 就應該立即退學
[16:00] 你可能確實不需要token maxing
[16:03] 就在矽谷它有一種
[16:05] 你要死命地燒token
[16:06] 你沒有必要
[16:08] 我的課上
[16:09] 我在課上做的演示
[16:12] 除了我這個slides的生成
[16:14] 是用一個更聰明的模型
[16:15] 我覺得它能給我更好的質量以外
[16:18] 你看到的這個幻燈片
[16:20] 你看到的整個
[16:24] 這裡的lecture裡面的東西
[16:27] 包括這些生成的這些assets
[16:30] 全部都是DeepSeek V4 Flash
[16:32] 也就是說我在這門課上
[16:33] 會用一個足夠便宜
[16:35] 但是智能相對有一些的模型
[16:38] 來帶大家完成這些事情
[16:41] 然後我也知道大家都是夜貓子
[16:44] 大家是Computer Science的學生
[16:45] 你們喜歡在夜裡工作
[16:47] 然後在夜裡工作
[16:48] DeepSeek是比較便宜的
[16:49] 我建議大家在梁文谷的時間
[16:52] 因為你看白天
[16:54] 看得我這個更好
[16:56] 在白天你們要上課
[17:00] 正好是梁文峰時間
[17:03] 然後等你們回去
[17:04] 回去做作業的時候
[17:05] 回去做作業的時候
[17:06] 就是梁文谷的時間
[17:08] 所以token非常重要
[17:09] 你們每一個同學
[17:10] 你們去DeepSeek充100塊
[17:12] 這個好像還OK
[17:14] 然後對還OK
[17:16] 如果實在token有困難的同學
[17:19] 可能可以聯繫我
[17:20] 來幫助大家想一點辦法
[17:24] 然後還有
[17:25] 還有一個很重要的policy
[17:27] 我希望用一個通過
[17:28] 或者不通過來evaluate的課程
[17:30] 所以我在申請這門課程的時候
[17:32] 我的考核方式就填的是
[17:34] 通過和不通過
[17:35] 但根據教務的反饋是
[17:37] 專業選修課大家是不會做成這樣
[17:40] 一般來說都是什麼形勢與政策
[17:42] 通過和不通過
[17:44] 但因為我們現在
[17:46] 我覺得還不知道這個
[17:48] 評判標準是什麼
[17:49] 你可能用更好的模型
[17:52] 你就可以有更好的質量
[17:54] 同一個任務
[17:55] 你讓Claude來做
[17:57] 就是比DeepSeek V4 Flash要做得好
[17:59] 這個做得快又好
[18:00] 沒辦法
[18:02] 我們沒有辦法限制大家用什麼樣的模型
[18:06] 怎麼評判
[18:07] 尤其是這樣的一個Vibe Coding
[18:08] 我們是做project的
[18:10] 課程
[18:11] 我大概我會有一些建議的
[18:14] 想就是說
[18:16] 我回頭會更新課程網站
[18:19] 上面會告訴大家
[18:20] OK我建議你們
[18:21] 實現一個自己的eval的管理系統
[18:24] 然後可以回我的eval
[18:26] 然後可能我會用一個指定的郵箱
[18:28] 給你發郵件
[18:29] 然後你可以把郵件回回來
[18:30] 你可以做一個常駐
[18:31] Vibe Coding的一個這樣的服務
[18:32] 跑在你宿舍的一個
[18:33] 一直敞開的小電腦上
[18:35] OK這就是一個比較不錯的實驗
[18:37] 你們有的同學可能會
[18:38] 做得複雜一點
[18:39] 有的同學做得簡單一點
[18:40] 我可能會用我的郵箱
[18:42] 去跟大家發郵件通信
[18:44] OK
[18:45] 但到底什麼叫做得好
[18:47] 什麼叫做得不好
[18:48] 到底該給多少分
[18:50] 我覺得在這個時代
[18:51] 分數已經變得不那麼重要了
[18:53] 而真正重要的
[18:54] 就是在你最後找工作
[18:56] 或者在你保研的那一刻
[18:58] 投入那個簡歷上面
[18:59] 有什麼東西
[19:00] 然後其實對你們來說
[19:02] 就只有那一個考試
[19:04] 當然我覺得比較糟糕的是
[19:06] 你為了能夠走到那一刻
[19:08] 你還需要一個比較好的GPA
[19:10] 你還得去reward hacking
[19:12] 還得去overfit
[19:14] 那個考試的題目
[19:15] 但最終
[19:16] 檢驗你大學階段
[19:18] 是你那一個交出去的簡歷
[19:20] 它能不能帶你到
[19:21] 下一個更高的平台
[19:23] 你敢不敢
[19:24] 給DP投簡歷
[19:26] 他們那個bar還是比較高的
[19:28] 所以我最終希望的是這門課
[19:30] 大家能夠最後在簡歷裡面寫一個
[19:32] 我在生成式軟件工程裡面
[19:33] 實現了這個ABCDE
[19:35] 然後有很多鏈接
[19:37] 然後它是一個
[19:38] 然後每一個東西都是
[19:39] 都做得非常漂亮
[19:41] 然後你每一個都說
[19:42] 你完成了設計實現
[19:44] 然後它這裡面了不起的地方
[19:46] 地方是什麼
[19:48] 我覺得最終
[19:49] 有可能的是
[19:50] 如果每一個人的電腦
[19:52] 上面都是安裝一個監控
[19:55] 那我就知道你大學四年
[19:56] 幹的所有的事情
[19:57] 然後我的AI就可以評判
[19:59] 你大學四年
[20:00] 到底度過了一個怎麼樣
[20:01] 大學四年
[20:02] 當然這是個非常恐怖的
[20:03] 這是個非常非常恐怖的事情
[20:05] 因為你摸的每一個魚
[20:07] 你看的每一個
[20:08] 不想讓別人知道的小電影
[20:10] 它都在你的電腦上發生
[20:12] 所以都知道
[20:14] 我們不知道什麼時候
[20:16] 人類社會會演繹到那個程度
[20:18] 但是保持open
[20:20] 這是我們的課程的policy
[20:24] 大概是我課程開了一個
[20:27] 開了一個頭
[20:30] 接下來我就可以
[20:31] 進入技術性的內容了
[20:32] 首先講一講
[20:34] 什麼是大語言模型
[20:35] 我今天不講什麼是大語言模型
[20:38] 大語言模型就是一個概率分布
[20:40] 跟你們在概率統計課上
[20:42] 學的那個拋硬幣
[20:44] 我知道我拋了六次硬幣
[20:46] 加起來是40
[20:48] 然後你問
[20:49] 第一次拋出1的概率是多少
[20:52] 你們在概率課上
[20:53] 都做過類似的題目
[20:55] 沒有任何的區別
[20:56] 它是一個學到的概率分布
[20:58] 它給一個很長的文本
[21:00] 就給你一本書
[21:02] 我帶了一本書
[21:04] 好多文本
[21:06] 給你一本書
[21:08] 當然可以是文本
[21:09] 也可能是圖像
[21:11] 一本書
[21:12] 然後這本書到最後就結束了
[21:14] 但你可以在這個書的後面
[21:16] 再寫幾個字
[21:17] 比如說能不能幫我總結一下
[21:18] 這本書
[21:20] 接下來大圓模型
[21:21] 大圓模型就會不斷地
[21:22] 預測它的下一個token的概率
[21:24] 每次輸出
[21:25] 你可以理解成
[21:26] 輸出一個字圖
[21:27] 一個字圖
[21:28] 然後這個模型很大
[21:29] 它見過世界上所有東西
[21:31] 然後訓練它很難
[21:33] 所以這是為什麼現在
[21:34] Bronchier Lab這麼牛逼
[21:36] 但這門課
[21:38] 是站在使用者的視角上
[21:40] 也就是說你們只要知道
[21:41] 存在一個東西叫大圓模型
[21:43] 你可以打開Deepseq的網頁API
[21:45] 現在我要登錄
[21:47] 那我就不登錄
[21:48] 打開網頁API
[21:49] 什麼是大圓模型
[21:50] 我怎麼樣體驗它
[21:52] 然後它會告訴你
[21:53] 現在就在體驗大圓模型
[21:55] 所以你不需要
[21:56] 任何大圓模型的知識
[21:59] 然後
[22:01] 大圓模型是怎麼樣
[22:02] 進入我們的世界的
[22:03] 我第一次被大圓模型
[22:05] 按在地上打
[22:07] 是給我5歲的孩子
[22:09] 2023年的時候
[22:10] GPD-4的時代
[22:11] GPD-4是一個
[22:12] 幻覺非常嚴重的模型
[22:13] 給我5歲的孩子
[22:14] 解釋什麼是
[22:15] 掃描電子顯微鏡
[22:17] 然後我大概有個
[22:18] 這樣的prompt
[22:19] 那個時候我們就玩
[22:20] prompt engineering
[22:22] 說我希望用
[22:23] 樸素的語言
[22:24] 打一個合適的比方
[22:25] 幫助他理解這個事
[22:27] 有一天我給我的
[22:28] 5歲的孩子
[22:29] 講一個什麼故事的時候
[22:30] 不知道為什麼
[22:31] 講到了這個
[22:32] 掃描電子顯微鏡
[22:33] 我講不下去了
[22:34] 然後我講不下去以後
[22:35] GPD-4給了我一個比方
[22:37] 他說
[22:38] 他比這個比方打得還好
[22:40] 這個比方就是
[22:41] GPD-4給的
[22:42] 我讓他寫了
[22:44] 他說
[22:46] 你現在有一個山
[22:47] 這個山的形狀你看不到
[22:50] 你閉著眼睛看不到
[22:52] 但你又想知道
[22:53] 那個山是什麼形狀
[22:55] 那怎麼辦
[22:56] 你就對那個山扔球
[22:58] 扔石頭
[22:59] 閉著眼睛扔石頭
[23:01] 然後你扔石頭的時候
[23:02] 有的時候你石頭就扔
[23:03] 你對著這個方向扔
[23:05] 這個石頭就穿過去了
[23:07] 對著這個方向扔
[23:09] 石頭就彈回來了
[23:10] 彈回來了你能聽到聲音
[23:11] 然後你就能通過這個
[23:13] 哪些地方穿過去了
[23:15] 哪些地方沒有穿過去
[23:16] 像Retracing一樣
[23:18] 你就可以推測出
[23:20] 這個山的形狀
[23:21] 小朋友大概聽懂了
[23:22] 我當小朋友也不可能百分百聽懂
[23:24] 但是他打了一個
[23:25] 就讓我覺得非常
[23:26] 震驚的比方
[23:28] 就首先他有這個知識
[23:30] 第二他
[23:31] 我後來還特意去查了資料
[23:33] 他這個比方打的是對的
[23:35] 然後你看GPD-5.6
[23:36] 他給了更嚴謹的一個
[23:38] 一個
[23:39] 而且他因為有reasoning
[23:41] 所以
[23:42] 他還給了更好的
[23:44] 這個
[23:45] 對
[23:46] 更好的解釋
[23:47] GPD-4的時代
[23:48] 然後我們用GPD-4
[23:50] 這個模型就去
[23:51] 生成奇怪的東西
[23:52] 就一個prime的
[23:53] 可以給GCDLVM找到
[23:55] 150個
[23:56] 然後
[23:57] 在今天你這個工作就完全
[23:59] 就在GPD-5.6的時代
[24:01] 就是一句話的事情
[24:03] 真的是
[24:04] 不需要再做任何的
[24:05] 為GPD的特別的調整
[24:09] 然後從GPD
[24:10] 就從一個
[24:11] 能
[24:12] 預測下一個token的概率分布
[24:14] 隨著
[24:16] 大家發現模型可以
[24:18] 輸出越來越長的文本
[24:21] 也接受越來越
[24:22] 長的上下文的時候
[24:24] agent就出現
[24:26] 對吧
[24:27] 他有了推理的模型
[24:28] 有了推理的模型
[24:29] 然後
[24:30] 有了coding react式的agent
[24:32] agent有了
[24:33] agent就是剛才那個語言的模型
[24:35] 語言的模型
[24:36] 他可以輸出下一個token
[24:37] 那我就可以讓他
[24:38] 輸出一個特殊的token
[24:40] 說能不能
[24:41] 叫用一個bash程序
[24:43] 對吧
[24:44] 然後這個bash程序會運行
[24:45] 運行和bash程序的結果
[24:47] 會重新送回到
[24:49] 這個agent的loop裡
[24:50] 這樣agent就可以自主運行
[24:52] 對吧
[24:53] 你就可以給他一個
[24:54] 比較複雜的任務
[24:55] 他可以不斷地嘗試
[24:56] 嘗試嘗試嘗試
[24:58] 你們看到的
[25:00] 比如說
[25:01] 我
[25:03] 我還是做了一些配置的
[25:04] 你們看到
[25:05] 我配置了一個
[25:06] sva的雙口管理器
[25:08] 然後這個sva雙口管理器
[25:09] 然後這個sva雙口管理器
[25:10] 為課堂展示做了優化
[25:12] 對吧
[25:13] 他的對比度比較高
[25:14] 然後他把什麼頂纜
[25:15] 全部都去掉了
[25:16] 這樣你們在上課的時候
[25:17] 可以看得更清楚
[25:20] 然後我還做了一些
[25:21] 比如說
[25:22] 你們都喜歡用top這個命令
[25:25] 來查看系統的進程
[25:27] 如果你不做定制
[25:29] 你看到的就是一個
[25:30] 比較土的top
[25:32] 對吧
[25:33] 但是我顯然
[25:34] 我這裡有一個
[25:35] 更fancy的top
[25:36] 你們看到我的obs在
[25:37] obs還在嗎
[25:38] obs還在浪費我的算力
[25:41] 然後我的內存還有多少
[25:44] 然後我把它配置成了一個
[25:46] 相對來說比較現代的中段
[25:48] 比如說
[25:49] 你們看到
[25:50] 你們看到我在ls的時候
[25:54] 我這樣用的不是ls
[25:55] 對吧
[25:56] 這個細節大家剛才有沒有注意到
[26:00] 我在ls的時候
[26:01] 自動把ls換成了
[26:03] eza這個命令
[26:06] 當我要find的時候
[26:08] 它也自動幫我換成了fd
[26:10] fd的行為和find稍微有點不一樣
[26:13] 然後你看到我ls的
[26:14] 這個輸出裡面又有
[26:16] 這還是很fancy的
[26:18] 這是一個目錄
[26:19] 這是一個markdown
[26:20] 這是一個makefile
[26:22] 還有特殊顯示的效果
[26:25] 然後我所有的這些配置
[26:26] 都是用agent的
[26:28] 都是用agent的配置的
[26:30] 我只有一個prompt
[26:31] 說你能不能幫我
[26:32] 把我現在的命令行中段
[26:34] 幫我把我的系統
[26:35] 所以都配置成
[26:37] 這個
[26:38] 現代的樣子
[26:39] 比較好用的樣子
[26:40] 結束了
[26:41] deepseqv4flash
[26:43] 沒有更好的模型
[26:45] 所以在今天就是
[26:47] 有了react這種類型的agent
[26:49] 它就不停地去
[26:50] conversion裡面去改改改
[26:52] 它錯了以後它會去試
[26:54] 試別的方法
[26:55] 然後最後它把任務能完成
[26:58] 所以就在大概去年的時候
[27:00] 我
[27:02] 我去年的時候上
[27:04] 操系統的時候
[27:05] 那個agent還不怎麼能用
[27:07] 就各種出錯
[27:08] 然後任務完成不了
[27:09] 它就停下來了
