[00:00] 我们上周讲了一点版本管理
[05:40] 的最初的初衷
[05:42] 你想做一个什么样的产品
[05:44] 然后这个产品能达到什么样的效果
[05:46] 可能可以两个screenshots
[05:48] 以及你最重要的那些设计
[05:50] 有点什么感觉
[05:52] 有一天你突然想了一个非常好的点子
[05:56] 然后你真的想用它去挣一个亿
[05:58] 然后你想挣一个亿的时候
[05:59] 你要组建一个额创业团队
[06:02] 你要说服你那个computer science里面
[06:04] 比如你要说服我出来干
[06:06] 然后你就只其实只需要一个比较短的
[06:09] README
[06:09] 这是你的INTE能想做这个东西
[06:11] 那剩下比如说我有架构的能力
[06:12] 我有写代码能力的
[06:13] 我可以把剩下的东西的给你给你补出来
[06:16] 你不需要知道这个软件系统是怎么样
[06:19] 它的specification是什么
[06:20] 他用什么样的数据库
[06:21] 怎么样支持这个用户
[06:23] 从1~10到100到100万到1亿
[06:27] 这个架构你可能没有
[06:29] 这个computer science的知识
[06:30] 但是你不需要有你只要有那个最原始的设计
[06:33] 那intent
[06:34] 然后再到spec
[06:35] 就有我刚才说的一些
[06:36] 我要选什么样的数据库
[06:38] 我甚至要选什么样的编程语言
[06:40] 然后我的项目的结构是什么啊等
[06:42] 各种各样的
[06:43] 小到比如说每个模块的接口都属于spec
[06:46] 然后再到code implementation
[06:47] 它现在都在都在这个项目里
[06:49] 那有这样的项目以后
[06:51] 很自然的你就你就需要一个容器
[06:55] 把这些各种各样的文件给管理出来
[06:58] 那我们说大家用文件系统来管理项目
[07:02] 其实真的就是图方便
[07:03] 因为你回到1950年
[07:04] 1960年的时候
[07:06] 操作系统给你的存储功能就只有文件
[07:10] 他没有别的
[07:11] 就那个时候数据库还关系型
[07:13] 数据库还没有发明出来
[07:14] 所以所以所有的程序员他别无他法
[07:17] 只能把你的项目以文件的形式存存进来
[07:21] 所以所以这更多时候是一个历史的
[07:24] 有历史是不停的往后涨
[07:25] 往后涨往后涨
[07:26] 导致的原因
[07:27] 我自己是觉得文件系统可能不是
[07:30] 组织项目的正确的方式
[07:32] 因为文件系统其实丢失了很多文件
[07:35] 不适合表达的信息
[07:36] 就有些有些信息其实是比较容易表达的
[07:40] 比如说我的intent spec这种
[07:43] 就我一一条文档这个地方我是怎么想的
[07:45] 或者这个测试用例是什么
[07:47] 我输入是什么
[07:48] 输出是什么
[07:49] 然后我要assert在程序的运行过程中
[07:51] 什么东西不能被违反
[07:52] 但是你马上就会发现有很多隐藏的关联
[07:58] 在项目里面是没有的
[08:00] 我举个例子
[08:01] 你们你经常会在AI就是AI在写代码的时候
[08:07] 现现在agent的会稍微好一点
[08:08] 有时候也不会
[08:10] 你让他说哎把这个实现的什么方法从
[08:14] 比如说你要把link list换成是一个更高效的
[08:17] tree的结构去优化性能
[08:20] 这是一个很常见
[08:21] 你突然发现这个性能不够了
[08:22] 然后你让AI去做
[08:23] AI就啪啪啪给你代码给改了
[08:25] 但是你没有想到的是
[08:27] 你可能在其中的某一个文件里写了一个文档里
[08:31] markdown里写了一个
[08:32] 我这个项目是用这个数据
[08:35] 是用link list管理的
[08:37] 然后在项目当中
[08:39] 其实你的这个文档和你的代码和测试之间
[08:44] 就形成了一个关联
[08:47] 它就形成了一个你在写的时候
[08:52] 你写文档的时候可能还没有代码
[08:53] 所以你就先写了那个文档
[08:54] 你随手一写
[08:55] 这是个link list
[08:56] 但是一旦你的代码实现了这个关联
[09:00] 又没有强行的联系上
[09:02] 这就是一个技术债
[09:04] technical debt
[09:05] 因为以后随着文档和代码的不断的向前推演
[09:11] 他们的不一致只会越来越多
[09:13] 不会越来越少
[09:14] 然后这个软件就陷入一个维护的泥潭了
[09:16] 因为后面你拿出一个代码
[09:18] 甚至AI拿出看到一份代码
[09:19] 那到底是文档说的对还是代码说的对
[09:23] 你跟他聊天的那个历史没有了
[09:26] 你那个chat已经已经消失了
[09:28] 你换了一台电脑
[09:30] 然后你那个git repo里面
[09:32] 可能还有一些这个这个change的日志
[09:34] 但是你当你到最后的时候
[09:37] 你真的就不知道到底是代码对还是文档对
[09:41] 然后其实在软件工程里面
[09:43] 这是一个研究了非常非常长时间的
[09:46] 问题叫叫traceability
[09:48] 你看这是这已经是2014年的时候
[09:50] 他review的一些更老的时候的文章
[09:54] 他就叫software traceability
[09:56] 可可可追踪性
[09:58] 所谓的追踪啧
[10:01] 就是你的
[10:02] 就他发现我们文件真的只是图
[10:05] 保存在文件系统里方便
[10:07] 那么在一个软件项目当中的
[10:11] 各种各样的测试用例文档
[10:15] 哪怕就文档中间一行代码
[10:17] 它之间的这个关联是什么
[10:19] 我们能不能在这个软件系统的演进过程中
[10:22] 仍仍然维持它
[10:23] 这其实是一个非常软件工程的
[10:26] 软软件工程的问题
[10:28] 所以很多时候我们觉得蛮有意思的
[10:31] 文件系统将错就错了
[10:32] 那我们大家最后总有一天会发现
[10:35] 你用文件系统来管理代码
[10:37] 你受不了了
[10:38] 打个压缩包发布
[10:40] 打压缩包发布
[10:41] 然后打压缩包发给你的合作者
[10:43] 这件事情啊已经维护不下去了
[10:46] 维护不下去了
[10:46] 所以所以就有了SVN
[10:48] 有了git
[10:51] 那下一个是什么
[10:53] 大家有没有没有想过下一个是什么
[10:56] 我今天一会讲那个
[10:58] jj他的下一另外一个
[11:01] 可能甚至比git要好一些
[11:02] 更好用的一个版版本控制工具
[11:04] 但我同时也觉得就刚才说到
[11:07] traceability
[11:08] 其实如果以后我们再也都不要写代码了
[11:11] 那软件他就不应该是一个
[11:14] 就是像像现在现在我们在git
[11:17] git repo里面管管理
[11:18] 这样
[11:19] 我们有好多文件
[11:22] 什么什么README.md
[11:26] 然后是什么hello
[11:28] 点C
[11:30] 还有一个什么DOS下的什么什么什么文档
[11:33] 然后其实如果如果所有的这些东西
[11:38] 我们人都不几乎不管了
[11:41] 那我们有没有可能我一直在想
[11:43] 就等这件这件这个未来到来
[11:46] 我们把这里面软软件或者说部件之间
[11:50] 就也许我们还是需要文档
[11:51] 但我们的文档可能是好多个切片
[11:53] 好多切片就把他们变成好多的对象
[11:56] object或者是entity
[12:00] 然后
[12:01] 那比如说这个文档和文
[12:04] 这个实现之间就有一个关系
[12:06] 它实现了这个这个代码
[12:08] 实现了这个文档
[12:09] 然后我可能有个测试用例
[12:13] 然后这个测试用例也有这个文档
[12:16] 那这个文档和测试用例又关联起来了
[12:19] 然后这个测试用例是和这个代码的这部分实现
[12:21] 是关联起来的
[12:22] 然后这个文档又和这个文档是关联起来的
[12:24] 然后你看这是一个完全结构化的东西
[12:27] 没有办法在文件系统里以一个树状的形式表达
[12:29] 这是一个就随便连接的一个图
[12:31] 有cycle的图graph
[12:33] 那这个东西
[12:35] 比如说我可以把它放到一个数据库里
[12:37] 叫这个就叫repo.db
[12:41] 那显然人类就没有办法用现在的这个UNIX的世界
[12:45] 里面的工具去维护这样的一个repository了
[12:47] 但不要紧
[12:48] 我们应该怎么
[12:50] 或者说我们应该应该怎么解决
[12:52] 用魔法打败魔法
[12:54] 人类理解不了的东西
[12:55] 我们只要训练AI
[12:56] 就他只要有强化学习的反馈信号
[12:58] 我们就可以训练AI
[12:59] AI能够理解这个repo
[13:01] 所以我们要干的是什么
[13:03] 这就是一个非常大的项目
[13:04] 什么LINUX内核数据库
[13:06] 或者你们想做的一个价值一个亿的产品好
[13:09] 那每次你就说好AI
[13:11] 因为你也不太可能说一下子就说
[13:14] 我要把这个产品直接变成另外一个产品了
[13:16] 一当你比如说这个软件系统已经在工作了
[13:19] 那你一般来说就是要给它增加一个功能
[13:22] 修改一个功能
[13:23] 然就跟git的理philosophy很像
[13:27] git管理了文件目录
[13:29] 快照和快照之间的关系
[13:30] 你的你的git
[13:32] 希望我们能够小步前进
[13:34] 我每做一件事情
[13:35] 我fix一个bug
[13:36] 我改一个文档
[13:37] 我都产生一个commit
[13:39] 然后这样我就可以在多个人之间协作
[13:41] 每个人可以自己产生自己的commit
[13:43] 然后我们可以用像rebase merge
[13:45] 这个fast forward的
[13:47] 这些
[13:47] 就或者是普通的这种merge来
[13:50] 创建一个可追踪的
[13:52] 成整个项目的修改历史
[13:54] 那如果我们以后也不要文件
[13:58] 就也不是用
[14:00] 也许也许还可以用文件系统来管理
[14:02] 那我们要的就是
[14:03] 我们可以让AI自动维护
[14:07] 所有的这个artifacts软件
[14:09] artifacts之间的一致性
[14:11] 这个artifacts之间一致性
[14:12] 就比如说代码和文档必须要一致
[14:14] 我文档说这是link list
[14:15] 我的实现里面必须是link list
[14:17] 然后我的这个test case测试用例
[14:20] 我文档里面说
[14:21] 我要有ABC3个方面的测试
[14:23] 那我这个test case就必须要有ABC
[14:26] 它都是关联起来的
[14:27] 然后呢你想从git里面
[14:29] 我们知道我们希望小步前进
[14:33] 我们希望小步前进
[14:34] 那同样的
[14:36] 当我们谈要做一小步的时候
[14:38] 其实我们知道这一小步是干什么的
[14:40] 所以你可以chat
[14:41] 你可以跟AI chat说
[14:43] 我现在要哎
[14:44] 我现在发现他有个bug
[14:45] 或者我做了一个产品
[14:47] 比如说我现在今天对这个幻灯片样式不满意
[14:50] 那这就其实就是一个小步
[14:52] 然后呢这个时候一个大型的软件系统里面
[14:55] 绝大部分的内容跟这个小步都是没有关系的
[15:00] 比如说我当当我谈说哎
[15:02] 我对这个幻灯片的样式不感兴趣的时候
[15:04] 我比如说大家可以看直接看我的
[15:07] 看我这个repo
[15:09] 看下顶层的结构
[15:10] 我有
[15:11] 我有些assets
[15:13] 然后甚至还有这个点cache
[15:15] 有缓存的系统
[15:17] 然后有这个P1P2P3P4P5
[15:19] 然后有一些脚本等
[15:22] 那任何一个软件系统
[15:24] 当你只做一小步的时候
[15:26] 你就只需要看到这个软件系统的一小部分
[15:29] 大部分东西应该是无关的好那既然是无关的
[15:32] 我们就可以让AI根据我们的chat
[15:35] 把和我相关的东西给摘出来
[15:38] 他可以他可以知道
[15:40] 我现在需要需要的是这个文件
[15:43] 这个test case和这个文档
[15:44] 其是其他的东西都不需要了
[15:47] 然后你想AI有什么能力
[15:50] AI有动态生成任何内容的能力
[15:54] everything is code
[15:56] content as code code可以表达任何东西
[15:59] 所以AI可以根据我的chat
[16:01] 生成一个和我要改的这一小步相关的view
[16:06] 一个视图诶
[16:08] 在这你看你们学到的这个各种系统里面的概念
[16:11] 还是有用的
[16:12] 就因为不是所有的同学都学过数据库
[16:15] 数据库里面有一个叫view的概念
[16:17] 他说我们我们的数据数据数据就在这了
[16:20] 但我可以创建一个不一样的查询
[16:22] 可以把它以另一个形式展示出来
[16:25] 这就是这个很简单的想法
[16:26] 我希望把这个这些数据
[16:29] 以另外一个形式给展现出来
[16:32] 但比如说当我看到的时候
[16:33] 我就看到的不是这些代码文档DF这些
[16:36] 而是一个可视化的一个看板
[16:39] 然后这个看板上面大概说了
[16:40] 列出了和我这个小步相关的一些东西
[16:43] 然后问我要改什么
[16:44] 然后我一把改完了以后
[16:46] 我同样的还是从一个
[16:49] 从一个V0到V1
[16:53] 他还是一个repo.db
[16:56] 但是这一小步就会把这些相关联的东西
[16:58] 比如说我要增加一种类型的测试用例
[17:01] 那他就会在这个测试用例里面
[17:02] 比如说我还是画一个这样的结构
[17:05] 对吧啊好
[17:06] 那他可能就会在这些地方加一些测试用例
[17:09] 这个地方加一些测试用例
[17:11] 这个地方加一些测试用
[17:12] 例
[17:12] 然有些地方可能要改掉
[17:14] 他就从一个一致的状态
[17:16] 就是各种复错综复杂的关系
[17:18] 然后做一次小步的修改到这个啊下一个版本
[17:24] 然后这样我们就好像
[17:26] 就软件工程就又变了彻底变了
[17:28] 然后我觉得这是一个未来有可能发生的
[17:30] 就是在AI内部
[17:32] 它是这样生产软件
[17:33] 然后然后从此以后我们也就再也不要看代码了
[17:36] 就我觉得你们看到现在的这种现代IDE
[17:38] 比如说cursor
[17:39] 我其实还蛮讨厌的
[17:40] 就是他现在就打开默认就是agent mode
[17:43] 然后agent mode
[17:44] 就是原来的那个我们熟悉的那个IDE
[17:46] 它就没有没有了
[17:48] 然后强迫你用一个像像chat
[17:50] 类似于chat的方式去跟他沟通
[17:52] 但因为我还是相对来说比较精通
[17:56] 古法编程的
[17:57] 这个有时候我还是对代码有一些掌控欲
[18:00] 可能是不好的
[18:01] 这个可能是不对的
[18:02] 但是就未来可能会是这是这可能是一个途径
[18:07] 然后你们当然我觉得同学们肯定也会焦虑的
[18:10] 那如果未来
[18:12] 这件事情真的有可能发生
[18:13] 而且就可能一两年以后
[18:15] 大家就真的有一个公司把这东西做出来了
[18:17] 那我们学那么多多东西还怎么办
[18:21] 然后其实你发现在我们思考
[18:23] 就在创造这些东西的过程当中
[18:26] 我们用的都是你们学习的这些经典集大成的
[18:30] computer science的课程
[18:31] 我刚才说的数据库里的视图
[18:34] 数据库我用的是借用了数据库的概念
[18:36] 实体和关系
[18:37] 然后我借用了git
[18:39] 我用git就这个模型没有变
[18:41] git长期的开发经验说
[18:43] 我们要一步一步向向前
[18:46] 如果在这个模型底下
[18:47] 我们是大步向前
[18:48] 那就惨了
[18:49] 那当然也有可能发生
[18:50] 就是模型面非常非常强
[18:52] 一个非常大型的项目
[18:53] 而且一步啪就变成变成下一个了
[18:56] 这个这个怎么做
[18:57] 我们现在还不知道
[18:58] 但是至少在初期
[19:02] 我们可能还是要沿用这个过去的这个
[19:05] 大家积累的软件工程智慧去小步向前
[19:08] 然后通往那个极乐的世界
[19:10] 但我还是相信这个极乐世界有可能
[19:13] 确实有可能是能是能到的对
[19:16] 所以这就这就引发了一个我觉得
[19:20] 在大学里面
[19:23] 我觉得蛮有意思的这个一个评论吧
[19:26] 这个这个同学应该是已经毕业了
[19:29] 已经毕业
[19:30] 因为我上上节课说我问那个同学们git rebase
[19:34] 然后大家都不知道什么是git rebase
[19:36] 然后他raise了一个valid point
[19:38] 就是说他说学生时代
[19:40] 大多数人是不会和他人共同合作的
[19:42] 也就是做作业
[19:43] 所以rebase merge用的场景就很少正确
[19:47] 这个point是对的
[19:49] 就你们做作业的时候确实确实不会
[19:51] 然后我的回应是大概是这样的
[19:52] 但是
[19:53] 如果你真的去往这个外面的世界去走一走的话
[19:56] 这个互联网开发者社区铺天盖地都是文档
[20:00] 所以你一定会在有一天你会留意过别人的项目
[20:03] 会看到过叫contributing.md
[20:05] 然后一般来说这个肯你马上就问这个
[20:08] 你们有没有同学问过
[20:16] rebase
[20:17] 没关系
[20:17] 错了就错了
[20:19] 哎我没有
[20:21] 我没有
[20:21] 他还
[20:27] 仓库根目录下的一份贡献者指南
[20:30] 通常回答我怎么参与这个项目
[20:32] 然后你看它里面就有这些就项目的总体的结构
[20:36] 然后分支提交信息
[20:38] pr的规范和流程
[20:40] 那你如果看过
[20:42] 就这如果你看过很多的项目的contributing.md
[20:45] 你比如说你就随手打开看一眼
[20:48] 然后如果你发现里面东西都知道了
[20:50] 那你就知道了
[20:51] 如果你不知道
[20:51] 比如说有一天
[20:52] 你一定会看到一个项目里面有一个说
[20:54] 我们你必须要在你自己的分支上REBASE
[20:57] 你禁止你
[20:58] 你这种就我们要保持线性历史
[21:00] 禁止你直接创建那种分叉的merge
[21:03] 你就会知道REBASE是干什么的
[21:06] 然后它现在是什么
[21:08] 现在我们的社会变得太快了
[21:11] 所以有一种学生其实不是批评
[21:15] 批评大家就是因为你们你们上高中的时候
[21:16] 就是这样的
[21:17] 在高中时候老师不教的
[21:19] 就是你不需要会的
[21:20] 考试不考
[21:21] 就是你不用学的
[21:22] 非常明显的一个你们为了升学的利益最大化
[21:26] 这个是正确的
[21:26] 没有
[21:28] 没有没有错
[21:30] 然后在你们到大学以后
[21:31] 你们如果还带着这个思维的话
[21:33] 你就你就会有这样的
[21:36] 就是这样的gap
[21:37] 就是你一种新人类和旧人类之间的这个gap
[21:41] 当然但我相信每一个同学也还是可以成为
[21:44] 成为成为新人类的
[21:45] 然后那你只需要去有一些注意力
[21:48] 去注意到这个更多的东西
[21:51] 因为因为现在我有一个危机
[21:54] 就是AI时代的斩杀线以下的价值就全部归零
[21:58] 当然我觉得现在斩杀线可能还斩不到
[22:01] 这个各位
[22:02] 985同大学这个computer science专业的同学
[22:05] 但是可能比如说那些低级的那种
[22:08] 低级智力劳动
[22:10] 比如说会计从业者
[22:12] 好像我看过一个报道
[22:14] 说中国可能是不是有1000万
[22:15] 还是有多少这个会计从业者
[22:17] 那这个行业里面顶端的人
[22:20] 肯定暂时还是没有威胁的
[22:22] 但是在底下的这个大量的人都面临
[22:25] 这个被agent的替代斩杀的啊危险
[22:27] 所以你们需要在这些经典的课程上
[22:30] 不管是什么操作系统
[22:32] 编译器这些
[22:34] 然后还是软件工程
[22:35] 这里面有些软件工程的智慧
[22:37] 你们学到一些经典的东西
[22:39] 然后最终形成你们自己的啊自己的理解
[22:42] 对这是这是一些啊评论和复习复习
[22:46] git好
[22:47] 那我们继续回到软件工程
[22:53] 不管是这个模型
[22:54] 就是我说我畅想一下
[22:56] 未未来会发生什么
[22:58] 还是我们就是就是git
[23:01] git git
[23:02] 他管理的是快照
[23:06] 也就是一个目录
[23:10] 整个一个可能是也就是这样的一个东西
[23:12] 的一个快照好
[23:14] 那我可以在快照上面做一个开发
[23:18] 做一个开发他要求小步
[23:20] 那我现在现在有一两个开发者
[23:22] 一个是A一个是B
[23:23] 我们就可以独立的在这两个上面啊做开发
[23:27] 然后好
[23:30] 那这个东西是commit
[23:34] 然后如果你要做这个时候
[23:37] 如果你要想把它合起来
[23:39] 那在git里面
[23:40] 在git的这个原始的模型里面
[23:44] 它REBASE相对来说是不那么提倡使用的
[23:47] 它是说好
[23:48] 你会创建一个就是两路的merge
[23:51] 他有222个parent
[23:53] 继承了这两个的这个修改
[23:56] 但是但是这又带来一些问题
[24:00] 比如说这个merge完
[24:01] 比如说merge是由AA来A来干的
[24:04] 那这个merge里面的这个一些内容
[24:08] 就由B写的这些内容
[24:11] 他就它就变他作者就变成A了
[24:14] 他其实有一个隐藏的作者修改
[24:17] 比如说B在这儿加了一行
[24:20] 在这个可能还能还能追溯到B
[24:22] 就如果发生冲突
[24:23] 比如说发生冲突时候
[24:24] 在resolve的时候
[24:26] 那冲突完了以后
[24:27] 这个称职就是由这是由A完成的
[24:29] 这是A完成的
[24:30] 那这个这B改的代码
[24:33] 最后ownership又归到了A
[24:35] 所以这会带来一些
[24:37] 相对来说有一点小小的小麻烦
[24:39] 然后rebase解决了这个问题
[24:41] rebase哎
[24:42] 我还是横过来画
[24:43] 这个是不是第一排的同学有点看不到
[24:48] 如果我现在有两个历史
[24:50] 那比如说我现在我现我现在改了
[24:55] 这是这是A同学A同学改了
[24:58] 改了两份
[24:59] 做了两次的提交
[25:00] 得到两个两个快照
[25:02] OK德尔塔一德尔塔二好
[25:04] 然后我这个时候另外一个同学开始改好
[25:09] 那rebase做了一件什么事
[25:12] rebase说的是
[25:15] 比如说A先先改了文档
[25:18] 然后再加了测试
[25:22] 然后然后我B加了一个feature
[25:25] 然后又加了一个
[25:27] 加了一个测试
[25:28] 那这个时候我不是直接把他们两个东西
[25:33] 创合成一个
[25:35] 说把这两条线路并起来的提交
[25:38] 而是我试图先把这个feature能不能在
[25:44] 我先要试一试
[25:45] 有没有可能在这个A的这个后面
[25:49] 把这个feature加上
[25:52] 如果加上了
[25:53] OK那就成功了
[25:54] 这就成功了好但是这是有一个很大的风险的
[25:59] 就是因为我可能在这个里面
[26:02] 加入了一个测试用例
[26:04] 然后这个测试用例和这个feature就是不兼容的
[26:08] 这是这是有可能的
[26:09] 或者甚至就是他们就改了同一个地方
[26:10] 我就做了两个完全不兼容的东西
[26:12] 那这个时候他是有可能可能失败的
[26:15] 如果成功
[26:16] 这就比较好
[26:17] 那我再把test放过来
[26:20] 如果成功
[26:21] 那么他就一路相当于
[26:23] 如果就也就是说这两条线上那边的修改
[26:26] 完全没有任何冲突
[26:27] 那我就可以一路把它合并过去
[26:29] 变成一个线性的历史
[26:30] 但是一旦发生冲突
[26:32] 这是非常危险了
[26:33] 为什么
[26:34] 一旦冲突
[26:35] 你就需要resolve
[26:37] 你会进入一个REBASE的模式
[26:38] 你们如果如果进入过这个模式
[26:40] 你会发现瞬间自己就不知道应该怎么办了
[26:43] 然后这时候你就打开你的agent的说
[26:45] 哎我现在在我先我发生了什么
[26:49] 然后然后然后然后agent会细心的解释
[26:52] 解释给你
[26:53] 更麻烦的是
[26:54] 你就算是把这个东西搬过来了
[26:56] feature搬过来了
[26:58] 你可能搬test的时候又要失败
[27:02] 然后你还需要再把test这个再搬过来
[27:06] 而且每一次你都会创建一个新的提交
[27:08] 也就是说这是一个这是一个commit
[27:11] 他有一个id
[27:12] 这commit有id
[27:13] 每个commit都有id
[27:15] 那如果你是一个这样的两路的merge
[27:19] 那所有的这些id都保留了
[27:21] 你会创建一个新的id
[27:23] 但是因为你是REBASE的REBASE
[27:26] 每次这样的rebase就会创建一个新的commit
[27:29] 因为他这个快照
[27:31] 本来这个快照的base在这个
[27:35] 这个commit的base在这所谓的rebase你就知道
[27:38] REBASEREBASE它的base要改掉
[27:43] 要把这个base改到这里来
[27:45] REBASE那你会创建一个新的id
[27:50] 每次会创建一个新的id
[27:51] 然后然后这个历史就变了
[27:54] 然后你会感觉到这里有一点点轻微的
[28:00] 不一致
[28:01] 就觉得你好像不想
[28:03] 不是完全要想这样去
[28:06] 管理软件
[28:07] 因为我们关心的是修改
[28:11] 也就是我希望的是把这个修改搬过来
[28:15] 把这个修改搬过来
[28:17] 然后在git里面修改是用commit来替代的
[28:20] 说好我现在有一个commit
[28:22] 然后这个commit和他的parent之间的关系
[28:25] 就叫一个修改
[28:27] 他没有一个专门的叫change的这个对象
[28:31] 所以它这用commit it来代替修改
[28:33] 那可能绝大部分的情况都还能满足
[28:36] 但是如果我们把change也变成first class citizen
[28:42] 会发生什么
[28:44] 你就发明了这个下一代更好用的
[28:48] 版本版本控制系统
[28:51] 就是说你我不仅可以有这个
[28:55] 有commit的ID
[28:57] 甚至甚至这个机器组
